key,translation,locale
cart.price.subtotal_wo_deals,Total,fr_FR
cart.product-option,Options de produit,fr_FR
cart.promotion.items,Produits promotionnels,fr_FR
cart.quantity.adjusted,La quantité d'article demandée a été ajustée dans la mesure où la quantité sélectionnée n'est pas disponible.,fr_FR
cart.remove.items.success,Les produits ont été supprimés avec succès,fr_FR
cart.sales-order-threshold,Valeur minimum de commande,fr_FR
cart.select.default_value,Veuillez sélectionner une valeur,fr_FR
cart.shipping,Expédition,fr_FR
cart.shipping.order-item,+ Expédition,fr_FR
cart.title_content,Panier,fr_FR
cart.title_sidebar,Aperçu de la commande,fr_FR
cart.total,Le total,fr_FR
cart.total.discount,Rabais,fr_FR
cart.total.price_to_pay,Prix à payer,fr_FR
cart.total.tax_total,Impôt,fr_FR
cart.validate.items.price.changed,Les prix ont été modifiés pour les produits avec SKU '%sku%'.,fr_FR
cart.voucher.apply.failed,Votre code de bon d'achat n'est pas valide.,fr_FR
cart.voucher.apply.non_applicable,Le code du bon n'est pas valide,fr_FR
cart.voucher.apply.successful,Votre code de bon a été appliqué,fr_FR
cart.voucher.redeem,Utiliser le code,fr_FR
cart.voucher.remove,Supprimer,fr_FR
cart.vouchers,Pièces justificatives,fr_FR
cart.vouchers.clear-all,Tout effacer,fr_FR
cart.voucher-title,Code du bon,fr_FR
cart_widget.empty_text,Votre panier est vide. Allez le remplir de tous vos espoirs et rêves technologiques.,fr_FR
cart.your-order,Votre commande,fr_FR
catalog.currency,€,fr_FR
catalog.filter.active,Filtre actif,fr_FR
catalog.filter.activeFilters,Filtres actifs,fr_FR
catalog.filter.active_rating_up,Etoiles et plus,fr_FR
catalog.filter.button,Appliquer,fr_FR
catalog.filter.extras,Autres caractéristiques,fr_FR
catalog.filter.filter,Filtres / Tri,fr_FR
catalog.filter.hide,masquer le filtre,fr_FR
catalog.filter.main_color,Couleur,fr_FR
catalog.filter.per,Par page,fr_FR
catalog.filter.pricerangeFrom,de,fr_FR
catalog.filter.pricerangeTo,à,fr_FR
catalog.filter.rangeFrom,Gamme de,fr_FR
catalog.filter.rangeTo,à,fr_FR
catalog.filter.rating_up,& En haut,fr_FR
catalog.filter.resetAllFilters,Réinitialiser tous les filtres,fr_FR
catalog.filter_section.show_all,Montre plus,fr_FR
catalog.filter_section.show_less,Montrer moins,fr_FR
catalog.filter.show,insérer un filtre,fr_FR
catalog.itemsFound,Résultats,fr_FR
catalog.loading,Chargement,fr_FR
catalog.new,Nouveau,fr_FR
catalog.next,Continuez,fr_FR
catalog.no-results,Aucun résultat.,fr_FR
catalog.prev,dos,fr_FR
catalog.sale,Vente,fr_FR
catalog.sort,Tri,fr_FR
catalog.sort.by,Trier par,fr_FR
catalog.sort.name_asc,Nom croissant,fr_FR
catalog.sort.name_desc,Nom décroissant,fr_FR
catalog.sort.price_asc,Prix croissant,fr_FR
catalog.sort.price_desc,Prix décroissant,fr_FR
catalog.sort.rating,Évaluations de produits,fr_FR
catalog.sort.relevance,Pertinence,fr_FR
catalog.view.mode.grid,Grille,fr_FR
catalog.view.mode.list,Lister,fr_FR
checkout.customer.auth_as_guest,Acheter en tant qu'invité,fr_FR
checkout.customer.auth_as_login,Connexion,fr_FR
checkout.customer.auth_as_user,S'inscrire,fr_FR
checkout.customer.order_as_guest,Commander en tant qu'invité,fr_FR
checkout.customer.proceed_as_guest,Procéder en tant qu'invité,fr_FR
checkout.customer.proceed_as_user,Procéder en tant qu'utilisateur enregistré (inscription),fr_FR
checkout.giftcard.label,Carte cadeau,fr_FR
checkout.nothing.will.be.sent,"Par conséquent, bien sûr, rien ne sera envoyé!",fr_FR
checkout.payment.cashback_balance,Solde Cashback / eVoucher myWorld:,fr_FR
checkout.payment.cashback_info,"Si vous avez un crédit Cashback ou un crédit eVoucher myWorld, celui-ci sera affiché ici et vous pourrez l'utiliser pour le paiement. <br/> Remarque: ils ne peuvent être utilisés que comme paiement pour les articles vendus par myWorld.",fr_FR
checkout.payment.checkbox.use_evoucher_balance,Utilisez %price% de votre %balance% Cashback / solde de myWorld eVoucher,fr_FR
checkout.payment_method.invalid,Le paiement à la caisse n'est pas valide,fr_FR
checkout.payment.provider.DummyPayment,méthodes de payement,fr_FR
checkout.payment.provider.payment_methods,méthodes de payement,fr_FR
checkout.pre.check.shipment.failed,Méthode d'expédition non valide %method_name% (%carrier_name%).,fr_FR
checkout.sales-order-threshold,Valeur minimum de commande,fr_FR
checkout.step.address.is_sellable,"Cher client, les produits ne sont malheureusement pas disponibles dans votre adresse de livraison.",fr_FR
checkout.step.address.select_address,Sélectionnez une adresse,fr_FR
checkout.step.address.title,Adresse,fr_FR
checkout.step.confirm_payment.error,Un problème est survenu lors du paiement,fr_FR
checkout.step.customer.title,Connexion,fr_FR
checkout.step.error.text,Un problème est survenu. Pardon.,fr_FR
checkout.step.error.title,Votre commande n'a pas été passée.,fr_FR
checkout.step.payment,Aller au paiement,fr_FR
checkout.step.payment.must_be_older_than_18_years,Vous devez avoir au moins 18 ans.,fr_FR
checkout.step.payment.title,Paiement,fr_FR
checkout.step.place.order,Soumettez votre commande,fr_FR
checkout.step.shipment,Aller à l'expédition,fr_FR
checkout.step.shipment.provider.a,DHL,fr_FR
checkout.step.shipment.provider.b,Hermès,fr_FR
checkout.step.shipment.title,Expédition,fr_FR
checkout.step.success.link,"Accéder à mon Compte""""",fr_FR
checkout.step.success.sub_title,Votre commande a été passée avec succès.,fr_FR
checkout.step.success.text,Vous recevrez l'e-mail de confirmation de commande dans quelques minutes. Vous pouvez vérifier et suivre votre commande dans votre compte.,fr_FR
checkout.step.success.title,Merci.,fr_FR
checkout.step.summary,Aller au résumé,fr_FR
checkout.step.summary.billing_address,adresse de facturation,fr_FR
checkout.step.summary.delivery_address,Adresse de livraison,fr_FR
checkout.step.summary.delivery_method,Méthode de livraison,fr_FR
checkout.step.summary.grand_total,Total,fr_FR
checkout.step.summary.items,Articles,fr_FR
checkout.step.summary.overview,Aperçu,fr_FR
checkout.step.summary.payment,Paiement,fr_FR
checkout.step.summary.products,Des produits,fr_FR
checkout.step.summary.requested_delivery_date,Date de livraison requise,fr_FR
checkout.step.summary.shipment_costs_total,Frais d'expédition (total),fr_FR
checkout.step.summary.shipping,Expédition,fr_FR
checkout.step.summary.sms_code_input_error,Le code SMS n'était pas correct,fr_FR
checkout.step.summary.sms_code_send_error,Envoyer le code SMS s'est terminé par une erreur,fr_FR
checkout.step.summary.sub_total,Total,fr_FR
checkout.step.summary.tax,Impôt,fr_FR
checkout.step.summary.title,Résumé,fr_FR
checkout.step.summary.total,Terminer le paiement,fr_FR
checkout.step.summary.tracking_code,Code de suivi de livraison,fr_FR
checkout.step.summary.uid,UID,fr_FR
checkout.step.summary.with_method,Avec,fr_FR
checkout.summary.item.bundle.description,Articles dans le lot:,fr_FR
checkout.summary.item.option.description,Options de produit:,fr_FR
checkout.thank.you,Merci,fr_FR
checkout.this.is.shop,Ceci est un démoshop,fr_FR
cms.page.filter.per,Par page,fr_FR
cms.page.itemsFound,Objets trouvés,fr_FR
cms.page.sort.name_asc,Trier par nom croissant,fr_FR
cms.page.sort.name_desc,Trier par nom décroissant,fr_FR
cms.page.sort.relevance,Trier par pertinence,fr_FR
cms.preview.access_denied,Vous n'êtes pas connecté ou vous n'avez pas la permission d'accéder à cette page.,fr_FR
cms-product-group.category.link.text,Explore plus,fr_FR
company.account,Compte d'entreprise,fr_FR
company.account.add_new_address,Définir une nouvelle adresse,fr_FR
company.account.address,Adresses,fr_FR
company.account.address.address1,rue,fr_FR
company.account.address.address3,Ajout à l'adresse,fr_FR
company.account.address.city,Ville,fr_FR
company.account.address.country,Pays,fr_FR
company.account.address.delete,Effacer,fr_FR
company.account.address.edit,Éditer,fr_FR
company.account.address.is_default_billing,Est l'adresse de facturation par défaut,fr_FR
company.account.address.number,Nombre,fr_FR
company.account.address.phone,Numéro de téléphone,fr_FR
company.account.address.zip_code,Code postal,fr_FR
company.account.authorization.success,Inscription réussi,fr_FR
company.account.billing_address,adresse de facturation par défaut,fr_FR
company.account.business_unit,Unités d'affaires,fr_FR
company.account.business_unit.add,Créer une unité commerciale,fr_FR
company.account.business_unit.address,Adresses,fr_FR
company.account.business_unit.create,Créer,fr_FR
company.account.business_unit.delete,Effacer,fr_FR
company.account.business_unit.delete.confirmation.warning,Avertissement,fr_FR
company.account.business_unit.details,Des détails,fr_FR
company.account.business_unit.edit,Éditer,fr_FR
company.account.business_unit.edit_information,Éditer,fr_FR
company.account.business_unit.email,E-mail,fr_FR
company.account.business_unit.external_url,URL externe,fr_FR
company.account.business_unit.name,Nom,fr_FR
company.account.business_unit.phone,Numéro de téléphone,fr_FR
company.account.business_unit.view,Vue,fr_FR
company.account.company_name,Nom de la compagnie,fr_FR
company.account.company_role,Les rôles,fr_FR
company.account.company_role.add,Ajouter un nouveau rôle,fr_FR
company.account.company_role.default,Défaut,fr_FR
company.account.company_role.details,Des détails,fr_FR
company.account.company_role.edit,Éditer,fr_FR
company.account.company_role.edit_information,Modifier les informations de rôle,fr_FR
company.account.company_role.is_default,Est par défaut,fr_FR
company.account.company_role.name,Nom,fr_FR
company.account.company_role.permission.assign,Attribuer,fr_FR
company.account.company_role.permission.assigned,Attribué,fr_FR
company.account.company_role.permission.configure,Configurer,fr_FR
company.account.company_role.permission.key,Clé,fr_FR
company.account.company_role.permission.manage,Gérer les autorisations,fr_FR
company.account.company_role.permissions,Autorisations,fr_FR
company.account.company_role.permission.status,Statut,fr_FR
company.account.company_role.permission.unassign,Annuler l'attribution,fr_FR
company.account.company_role.permission.unassigned,Non attribué,fr_FR
company.account.company_role.user.manage,Gérer les utilisateurs de l'entreprise attribués,fr_FR
company.account.company_role.users,Utilisateurs,fr_FR
company.account.company_role.view,Vue,fr_FR
company.account.company_user,Utilisateurs,fr_FR
company.account.company_user.add,Ajouter un nouvel utilisateur,fr_FR
company.account.company_user.business_unit,Unité commerciale,fr_FR
company.account.company_user.delete,Effacer,fr_FR
company.account.company_user.delete.back,Dos,fr_FR
company.account.company_user.delete.successful,L'utilisateur a été supprimé,fr_FR
company.account.company_user.disable,Désactiver,fr_FR
company.account.company_user.edit,Éditer,fr_FR
company.account.company_user.edit_information,Modifier les informations utilisateur,fr_FR
company.account.company_user.enable,Activer,fr_FR
company.account.company_user.name,Nom,fr_FR
company.account.company_user.role,Rôle,fr_FR
company.account.company_user.status.disable.error,L'utilisateur de l'entreprise ne peut pas être désactivé,fr_FR
company.account.company_user.status.disable.error.cannot_disable_yourself,Vous n'êtes pas autorisé à vous désactiver,fr_FR
company.account.company_user.status.disable.success,L'utilisateur de l'entreprise a bien été désactivé,fr_FR
company.account.company_user.status.enable.error,L'utilisateur de l'entreprise ne peut pas être activé,fr_FR
company.account.company_user.status.enable.error.cannot_enable_yourself,Vous n'êtes pas autorisé à vous activer,fr_FR
company.account.company_user.status.enable.success,L'utilisateur de l'entreprise a bien été activé,fr_FR
company.account.edit_address_information,Modifier les informations d'adresse,fr_FR
company.account.login.email,E-mail,fr_FR
company.account.login.password,Mot de passe,fr_FR
company.account.login.title,Accéder à votre compte,fr_FR
company.account.name,Nom de la compagnie,fr_FR
company.account.overview,Aperçu,fr_FR
company.account.page-title,Mon entreprise,fr_FR
company.account.registration.title,Créer un compte,fr_FR
company.account.shipping_address,Adresse de livraison par défaut,fr_FR
company.account.table.actions,Actions,fr_FR
company.address.heading,Les données de la compagnie,fr_FR
company.company_business_unit.delete.error.has_users,Vous ne pouvez pas supprimer une unité commerciale lorsqu'elle contient des utilisateurs,fr_FR
company.company_role.delete.error.has_users,Vous ne pouvez pas supprimer un rôle tant qu'il contient des utilisateurs,fr_FR
company_page.company_business_unit_restricted_message,Vous ne disposez pas des autorisations nécessaires pour effectuer cette opération,fr_FR
company_page.company_user_restricted_message,Les clients réguliers ne sont pas autorisés à opérer sur les pages de l'entreprise,fr_FR
company_user.business_on_behalf.error.company_not_active,"Vous ne pouvez pas sélectionner cet utilisateur de la société, la société n'est pas active.",fr_FR
company_user.business_on_behalf.error.company_user_invalid,"Vous ne pouvez pas sélectionner cet utilisateur d'entreprise, il n'est pas valide.",fr_FR
company_user.change_company_user,Changer d'utilisateur de l'entreprise,fr_FR
company.user.first_name,Prénom,fr_FR
company.user.invitation.accepted,Votre invitation a déjà été utilisée,fr_FR
company.user.invitation.actions,Actions,fr_FR
company.user.invitation.business.unit,Unité commerciale,fr_FR
company.user.invitation.delete.button,Effacer,fr_FR
company.user.invitation.delete.confirmation.question,Voulez-vous vraiment supprimer l'invitation?,fr_FR
company.user.invitation.deleted.error.message,L'invitation n'a pas été supprimée,fr_FR
company.user.invitation.deleted.success.message,Invitation supprimée avec succès,fr_FR
company.user.invitation.delete.title,Supprimer l'invitation,fr_FR
company.user.invitation.expired,Votre invitation a expiré,fr_FR
company.user.invitation.file,Fichier d'invitations,fr_FR
company.user.invitation.first.name,Prénom,fr_FR
company.user.invitation.import.download.errors.file,"Certaines invitations n'ont pas pu être importées. Cliquez <a href=""""%link%""""> ici </a> pour télécharger le fichier d'erreurs",fr_FR
company.user.invitation.imported.title.plural,Invitations importées,fr_FR
company.user.invitation.import.error.message,L'importation des invitations a échoué,fr_FR
company.user.invitation.import.file.invalid,Le fichier d'importation n'est pas valide,fr_FR
company.user.invitation.import.title,Importer de nouvelles invitations,fr_FR
company.user.invitation.invalid,Votre invitation n'est pas valide,fr_FR
company.user.invitation.invite_users,Inviter des utilisateurs,fr_FR
company.user.invitation.last.name,Nom de famille,fr_FR
company.user.invitation.mail,Poster,fr_FR
company.user.invitation.not.found.message,Invitation introuvable,fr_FR
company.user.invitation.resend.button,Renvoyer,fr_FR
company.user.invitation.resend.confirmation.question,Voulez-vous vraiment renvoyer l'invitation?,fr_FR
company.user.invitation.resend.title,Renvoyer l'invitation,fr_FR
company.user.invitation.resent.error.message,L'invitation n'a pas été renvoyée,fr_FR
company.user.invitation.resent.success.message,Invitation renvoyée avec succès,fr_FR
company.user.invitation.send.all.button,Envoyer tout,fr_FR
company.user.invitation.send.button,Envoyer,fr_FR
company.user.invitation.sent.all.error.message,Certaines invitations n'ont pas été envoyées,fr_FR
company.user.invitation.sent.all.none.found.message,Aucune invitation à envoyer trouvée,fr_FR
company.user.invitation.sent.all.success.message,Toutes les invitations ont bien été envoyées,fr_FR
company.user.invitation.sent.error.message,L'invitation n'a pas été envoyée,fr_FR
company.user.invitation.sent.success.message,Invitation envoyée avec succès,fr_FR
company.user.invitation.status,Statut,fr_FR
company.user.invitation.status.accepted,Accepté,fr_FR
company.user.invitation.status.new,Pas envoyé,fr_FR
company.user.invitation.status.pending,En attente,fr_FR
company.user.invitation.title.plural,Invitations,fr_FR
company.user.last_name,Nom de famille,fr_FR
company_user.no_company,Aucune entreprise,fr_FR
company_user.remember_choice,Rappelez-vous le choix,fr_FR
company.user.salutation.dr,Dr.,fr_FR
company.user.salutation.mr,M.,fr_FR
company.user.salutation.mrs,Madame.,fr_FR
company.user.salutation.ms,M / s.,fr_FR
configurable_bundle_note.enter_note,Ajouter une note pour le bundle configuré,fr_FR
configurable_bundle_note.form.save,Sauvegarder,fr_FR
configurable_bundle_note.note,Remarque sur le bundle configuré:,fr_FR
configurable_bundle_note.note_added,La note a été ajoutée avec succès au groupe configuré,fr_FR
configurable_bundle_page.choose_bundle_to_configure,Choisissez Bundle pour configurer,fr_FR
configurable_bundle_page.configurable_bundle_list,Liste de lots configurable,fr_FR
configurable_bundle_page.configurator,Configurateur,fr_FR
configurable_bundle_page.configurator.added_to_cart,Le lot configuré a bien été ajouté au panier.,fr_FR
configurable_bundle_page.configurator.add_to_cart,Ajouter au chariot,fr_FR
configurable_bundle_page.configurator.product_became_unavailable,Le produit avec le SKU '%sku%' configuré pour l'emplacement avec l'ID '%id%' est devenu indisponible.,fr_FR
configurable_bundle_page.configurator.selected_product,Produit sélectionné,fr_FR
configurable_bundle_page.configurator.sku,Sku:,fr_FR
configurable_bundle_page.configurator.slot_became_unavailable,L'emplacement configuré avec l'ID '%id%' est devenu indisponible.,fr_FR
configurable_bundle_page.configurator.slot_page.back_link,Retour aux offres groupées,fr_FR
configurable_bundle_page.configurator.summary,Résumé,fr_FR
configurable_bundle_page.configurator.summary_page_locked,Le produit d'au moins un emplacement doit être configuré pour visiter la page Résumé.,fr_FR
configurable_bundle_page.configurator.summary_page_total,Le total,fr_FR
configurable_bundle_page.configurator.templates_not_found,Aucun modèle n'est disponible.,fr_FR
configurable_bundle_page.configurator.tip.header,Créez votre propre bundle.,fr_FR
configurable_bundle_page.configurator.tip.text,"Pour créer le bundle, veuillez sélectionner l'emplacement sur le côté gauche et choisissez le produit dans la liste.",fr_FR
configurable_bundle_page.edit,Éditer,fr_FR
configurable_bundle_page.invalid_template_slot_combination,Combinaison modèle / emplacement non valide.,fr_FR
configurable_bundle_page.select,Sélectionner,fr_FR
configurable_bundle_page.template_not_found,Modèle de bundle configurable introuvable.,fr_FR
configurable_bundle_page.unselect,Désélectionner,fr_FR
configurable_bundle.slot.validation.error.not_exists,L'emplacement de modèle de bundle configurable n'existe pas.,fr_FR
configurable_bundle.templates.configurable-bundle-all-in.name,Tout en,fr_FR
configurable_bundle.template_slots.slot-1.name,Emplacement 1,fr_FR
configurable_bundle.template_slots.slot-2.name,Emplacement 2,fr_FR
configurable_bundle.template_slots.slot-3.name,Emplacement 3,fr_FR
configurable_bundle.template_slots.slot-4.name,Emplacement 4,fr_FR
configurable_bundle.template_slots.slot-5.name,Emplacement 5,fr_FR
configurable_bundle.template_slots.slot-6.name,Emplacement 6,fr_FR
configurable_bundle.templates.smartstation.name,Kit Smartstation,fr_FR
configurable_bundle.template.validation.error.already_activated,Le modèle de bundle configurable est déjà activé.,fr_FR
configurable_bundle.template.validation.error.already_deactivated,Le modèle de bundle configurable est déjà désactivé.,fr_FR
configurable_bundle.template.validation.error.not_exists,Le modèle de bundle configurable n'existe pas.,fr_FR
configured_bundle.bundle_total,Total du pack:,fr_FR
configured_bundle_cart.error.configured_bundle_cannot_be_added,Le groupe configuré ne peut pas être ajouté au panier.,fr_FR
configured_bundle_cart.error.configured_bundle_cannot_be_removed,Le groupe configuré ne peut pas être supprimé du panier.,fr_FR
configured_bundle_cart.error.configured_bundle_cannot_be_updated,Le bundle configuré ne peut pas être mis à jour.,fr_FR
configured_bundle_cart.error.configured_bundle_not_found,Bundle configuré avec le sku fourni introuvable dans le panier.,fr_FR
configured_bundle.item_sku,SKU:,fr_FR
configured_bundle_note_widget.edit_note,Éditer,fr_FR
configured_bundle_note_widget.remove_note,Supprimer,fr_FR
configured_bundle.order.items,Articles dans le lot:,fr_FR
configured_bundle.price,Prix de l'article:,fr_FR
configured_bundle.quantity,Quantité:,fr_FR
configured_bundle.remove,Supprimer,fr_FR
configured_bundle.total,Objet total:,fr_FR
configured_bundle_widget.configured_bundle.removed,Le bundle configuré a bien été supprimé.,fr_FR
configured_bundle_widget.configured_bundle.updated,Le bundle configuré a bien été mis à jour.,fr_FR
configured_bundle_widget.items,Articles,fr_FR
configured_bundle_widget.multiplier,X,fr_FR
countries.iso.AT,L'Autriche,fr_FR
countries.iso.BE,Belgique,fr_FR
countries.iso.BG,Bulgarie,fr_FR
countries.iso.CH,la Suisse,fr_FR
countries.iso.CY,Chypre,fr_FR
countries.iso.CZ,République Tchèque,fr_FR
countries.iso.DE,Allemagne,fr_FR
countries.iso.DK,Danemark,fr_FR
countries.iso.EE,Estonie,fr_FR
countries.iso.ES,Espagne,fr_FR
countries.iso.FI,Finlande,fr_FR
countries.iso.FR,France,fr_FR
countries.iso.GB,Royaume-Uni,fr_FR
countries.iso.GR,Grèce,fr_FR
countries.iso.HR,Croatie,fr_FR
countries.iso.HU,Hongrie,fr_FR
countries.iso.IE,Irlande,fr_FR
countries.iso.IM,île de Man,fr_FR
countries.iso.IT,Italie,fr_FR
countries.iso.LT,Lituanie,fr_FR
countries.iso.LU,Luxembourg,fr_FR
countries.iso.LV,Lettonie,fr_FR
countries.iso.MC,Monaco,fr_FR
countries.iso.MT,Malte,fr_FR
countries.iso.NL,Pays-Bas,fr_FR
countries.iso.NO,Norvège,fr_FR
countries.iso.PL,Pologne,fr_FR
countries.iso.PT,le Portugal,fr_FR
countries.iso.RO,Roumanie,fr_FR
countries.iso.SE,Suède,fr_FR
countries.iso.SI,Slovénie,fr_FR
countries.iso.SK,Slovaquie,fr_FR
customer.access.cannot_see_price,Veuillez vous connecter pour voir le prix,fr_FR
customer.account,Compte client,fr_FR
customer.account.additional_addresses,Adresses supplémentaires,fr_FR
customer.account.add_new_address,Définir une nouvelle adresse,fr_FR
customer.account.address,Adresses,fr_FR
customer.account.available.benefit.voucher.amount,Montant du bon de prestation disponible,fr_FR
customer.account.available.cashback.amount,Montant de la remise en argent disponible,fr_FR
customer.account.available.shopping.point.amount,Montant en points d'achat disponible,fr_FR
customer.account.button.add_new_address,Ajouter une nouvelle adresse,fr_FR
customer.account.contact,Contacter,fr_FR
