category_key,parent_category_key,name.en_US,meta_title.en_US,meta_description.en_US,meta_keywords.en_US,is_active,is_in_menu,is_clickable,is_searchable,is_root,is_main,node_order,template_name,category_image_name.en_US,name.it_IT,name.fr_FR,name.el_GR,meta_title.it_IT,meta_title.fr_FR,meta_title.el_GR,meta_description.it_IT,meta_description.fr_FR,meta_description.el_GR,meta_keywords.it_IT,meta_keywords.fr_FR,meta_keywords.el_GR,category_image_name.it_IT,category_image_name.fr_FR,category_image_name.el_GR
MC_40001,shop,"Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music",1,1,1,1,0,1,5,Catalog (default),,"Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music",,,,,,
MC_50001,shop,Office Supplies & Stationery,Office Supplies & Stationery,Office Supplies & Stationery,Office Supplies & Stationery,1,1,1,1,0,1,6,Catalog (default),,Office Supplies & Stationery,Office Supplies & Stationery,Office Supplies & Stationery,Office Supplies & Stationery,Office Supplies & Stationery,Office Supplies & Stationery,Office Supplies & Stationery,Office Supplies & Stationery,Office Supplies & Stationery,,,,,,
MC_60001,shop,Electronics,Electronics,Electronics,Electronics,1,1,1,1,0,1,7,Catalog (default),,Electronics,Electronics,Electronics,Electronics,Electronics,Electronics,Electronics,Electronics,Electronics,,,,,,
MC_70001,shop,Food & Drink,Food & Drink,Food & Drink,Food & Drink,1,1,1,1,0,1,8,Catalog (default),,Food & Drink,Food & Drink,Food & Drink,Food & Drink,Food & Drink,Food & Drink,Food & Drink,Food & Drink,Food & Drink,,,,,,
MC_80001,shop,Home & Garden,Home & Garden,Home & Garden,Home & Garden,1,1,1,1,0,1,9,Catalog (default),,Home & Garden,Home & Garden,Home & Garden,Home & Garden,Home & Garden,Home & Garden,Home & Garden,Home & Garden,Home & Garden,,,,,,
MC_90001,shop,Merchandise,Merchandise,Merchandise,Merchandise,1,1,1,1,0,1,15,Catalog (default),,Merchandise,Merchandise,Merchandise,Merchandise,Merchandise,Merchandise,Merchandise,Merchandise,Merchandise,,,,,,
SUB_10001,MC_10001,Trailers & Carriers,Trailers & Carriers,Trailers & Carriers,Trailers & Carriers,1,1,1,1,0,1,,Catalog (default),,Trailers & Carriers,Trailers & Carriers,Trailers & Carriers,Trailers & Carriers,Trailers & Carriers,Trailers & Carriers,Trailers & Carriers,Trailers & Carriers,Trailers & Carriers,,,,,,
SUB_10002,MC_10001,Car Tuning,Car Tuning,Car Tuning,Car Tuning,1,1,1,1,0,1,,Catalog (default),,Car Tuning,Car Tuning,Car Tuning,Car Tuning,Car Tuning,Car Tuning,Car Tuning,Car Tuning,Car Tuning,,,,,,
SUB_10003,MC_10001,Car Workshop Equipment,Car Workshop Equipment,Car Workshop Equipment,Car Workshop Equipment,1,1,1,1,0,1,,Catalog (default),,Car Workshop Equipment,Car Workshop Equipment,Car Workshop Equipment,Car Workshop Equipment,Car Workshop Equipment,Car Workshop Equipment,Car Workshop Equipment,Car Workshop Equipment,Car Workshop Equipment,,,,,,
SUB_10004,MC_10001,Car Care,Car Care,Car Care,Car Care,1,1,1,1,0,1,,Catalog (default),,Car Care,Car Care,Car Care,Car Care,Car Care,Car Care,Car Care,Car Care,Car Care,,,,,,
SUB_10005,MC_10001,Car Parts,Car Parts,Car Parts,Car Parts,1,1,1,1,0,1,,Catalog (default),,Car Parts,Car Parts,Car Parts,Car Parts,Car Parts,Car Parts,Car Parts,Car Parts,Car Parts,,,,,,
SUB_10006,MC_10001,Car accessories,Car accessories,Car accessories,Car accessories,1,1,1,1,0,1,,Catalog (default),,Car accessories,Car accessories,Car accessories,Car accessories,Car accessories,Car accessories,Car accessories,Car accessories,Car accessories,,,,,,
SUB_10007,MC_10001,Vehicles,Vehicles,Vehicles,Vehicles,1,1,1,1,0,1,,Catalog (default),,Vehicles,Vehicles,Vehicles,Vehicles,Vehicles,Vehicles,Vehicles,Vehicles,Vehicles,,,,,,
SUB_10008,MC_10001,Motorcycle Supplies,Motorcycle Supplies,Motorcycle Supplies,Motorcycle Supplies,1,1,1,1,0,1,,Catalog (default),,Motorcycle Supplies,Motorcycle Supplies,Motorcycle Supplies,Motorcycle Supplies,Motorcycle Supplies,Motorcycle Supplies,Motorcycle Supplies,Motorcycle Supplies,Motorcycle Supplies,,,,,,
SUB_10009,MC_10001,Oils & Maintenance,Oils & Maintenance,Oils & Maintenance,Oils & Maintenance,1,1,1,1,0,1,,Catalog (default),,Oils & Maintenance,Oils & Maintenance,Oils & Maintenance,Oils & Maintenance,Oils & Maintenance,Oils & Maintenance,Oils & Maintenance,Oils & Maintenance,Oils & Maintenance,,,,,,
SUB_10010,MC_10001,Wheels & Tires,Wheels & Tires,Wheels & Tires,Wheels & Tires,1,1,1,1,0,1,,Catalog (default),,Wheels & Tires,Wheels & Tires,Wheels & Tires,Wheels & Tires,Wheels & Tires,Wheels & Tires,Wheels & Tires,Wheels & Tires,Wheels & Tires,,,,,,
SUB_10010_01,SUB_10010,Rims,Rims,Rims,Rims,1,1,1,1,0,1,,Catalog (default),,Rims,Rims,Rims,Rims,Rims,Rims,Rims,Rims,Rims,,,,,,
SUB_10010_02,SUB_10010,Summer tires,Summer tires,Summer tires,Summer tires,1,1,1,1,0,1,,Catalog (default),,Summer tires,Summer tires,Summer tires,Summer tires,Summer tires,Summer tires,Summer tires,Summer tires,Summer tires,,,,,,
SUB_10010_03,SUB_10010,All Season tires,All Season tires,All Season tires,All Season tires,1,1,1,1,0,1,,Catalog (default),,All Season tires,All Season tires,All Season tires,All Season tires,All Season tires,All Season tires,All Season tires,All Season tires,All Season tires,,,,,,
SUB_10010_04,SUB_10010,Winter tires,Winter tires,Winter tires,Winter tires,1,1,1,1,0,1,,Catalog (default),,Winter tires,Winter tires,Winter tires,Winter tires,Winter tires,Winter tires,Winter tires,Winter tires,Winter tires,,,,,,
SUB_10010_05,SUB_10010,Offroad tires,Offroad tires,Offroad tires,Offroad tires,1,1,1,1,0,1,,Catalog (default),,Offroad tires,Offroad tires,Offroad tires,Offroad tires,Offroad tires,Offroad tires,Offroad tires,Offroad tires,Offroad tires,,,,,,
SUB_10010_06,SUB_10010,Truck Tires,Truck Tires,Truck Tires,Truck Tires,1,1,1,1,0,1,,Catalog (default),,Truck Tires,Truck Tires,Truck Tires,Truck Tires,Truck Tires,Truck Tires,Truck Tires,Truck Tires,Truck Tires,,,,,,
SUB_11001,MC_11001,Accessories,Accessories,Accessories,Accessories,1,1,1,1,0,1,,Catalog (default),,Accessories,Accessories,Accessories,Accessories,Accessories,Accessories,Accessories,Accessories,Accessories,,,,,,
SUB_11001_01,SUB_11001,Gloves,Gloves,Gloves,Gloves,1,1,1,1,0,1,,Catalog (default),,Gloves,Gloves,Gloves,Gloves,Gloves,Gloves,Gloves,Gloves,Gloves,,,,,,
SUB_11001_02,SUB_11001,Belt,Belt,Belt,Belt,1,1,1,1,0,1,,Catalog (default),,Belt,Belt,Belt,Belt,Belt,Belt,Belt,Belt,Belt,,,,,,
SUB_11001_03,SUB_11001,Ties & Pocket Square,Ties & Pocket Square,Ties & Pocket Square,Ties & Pocket Square,1,1,1,1,0,1,,Catalog (default),,Ties & Pocket Square,Ties & Pocket Square,Ties & Pocket Square,Ties & Pocket Square,Ties & Pocket Square,Ties & Pocket Square,Ties & Pocket Square,Ties & Pocket Square,Ties & Pocket Square,,,,,,
SUB_11001_04,SUB_11001,Sunglasses,Sunglasses,Sunglasses,Sunglasses,1,1,1,1,0,1,,Catalog (default),,Sunglasses,Sunglasses,Sunglasses,Sunglasses,Sunglasses,Sunglasses,Sunglasses,Sunglasses,Sunglasses,,,,,,
SUB_11002,MC_11001,Clothing for Babies,Clothing for Babies,Clothing for Babies,Clothing for Babies,1,1,1,1,0,1,,Catalog (default),,Clothing for Babies,Clothing for Babies,Clothing for Babies,Clothing for Babies,Clothing for Babies,Clothing for Babies,Clothing for Babies,Clothing for Babies,Clothing for Babies,,,,,,
SUB_11003,MC_11001,Clothes for Women,Clothes for Women,Clothes for Women,Clothes for Women,1,1,1,1,0,1,,Catalog (default),,Clothes for Women,Clothes for Women,Clothes for Women,Clothes for Women,Clothes for Women,Clothes for Women,Clothes for Women,Clothes for Women,Clothes for Women,,,,,,
SUB_11003_01,SUB_11003,Ladies Jackets & Coats,Ladies Jackets & Coats,Ladies Jackets & Coats,Ladies Jackets & Coats,1,1,1,1,0,1,,Catalog (default),,Ladies Jackets & Coats,Ladies Jackets & Coats,Ladies Jackets & Coats,Ladies Jackets & Coats,Ladies Jackets & Coats,Ladies Jackets & Coats,Ladies Jackets & Coats,Ladies Jackets & Coats,Ladies Jackets & Coats,,,,,,
SUB_11003_02,SUB_11003,Ladies Trousers,Ladies Trousers,Ladies Trousers,Ladies Trousers,1,1,1,1,0,1,,Catalog (default),,Ladies Trousers,Ladies Trousers,Ladies Trousers,Ladies Trousers,Ladies Trousers,Ladies Trousers,Ladies Trousers,Ladies Trousers,Ladies Trousers,,,,,,
SUB_11003_03,SUB_11003,Ladies Blouses,Ladies Blouses,Ladies Blouses,Ladies Blouses,1,1,1,1,0,1,,Catalog (default),,Ladies Blouses,Ladies Blouses,Ladies Blouses,Ladies Blouses,Ladies Blouses,Ladies Blouses,Ladies Blouses,Ladies Blouses,Ladies Blouses,,,,,,
SUB_11003_04,SUB_11003,Ladies Shirts,Ladies Shirts,Ladies Shirts,Ladies Shirts,1,1,1,1,0,1,,Catalog (default),,Ladies Shirts,Ladies Shirts,Ladies Shirts,Ladies Shirts,Ladies Shirts,Ladies Shirts,Ladies Shirts,Ladies Shirts,Ladies Shirts,,,,,,
SUB_11003_05,SUB_11003,Ladies Dresses,Ladies Dresses,Ladies Dresses,Ladies Dresses,1,1,1,1,0,1,,Catalog (default),,Ladies Dresses,Ladies Dresses,Ladies Dresses,Ladies Dresses,Ladies Dresses,Ladies Dresses,Ladies Dresses,Ladies Dresses,Ladies Dresses,,,,,,
SUB_11003_06,SUB_11003,Ladies Sweaters,Ladies Sweaters,Ladies Sweaters,Ladies Sweaters,1,1,1,1,0,1,,Catalog (default),,Ladies Sweaters,Ladies Sweaters,Ladies Sweaters,Ladies Sweaters,Ladies Sweaters,Ladies Sweaters,Ladies Sweaters,Ladies Sweaters,Ladies Sweaters,,,,,,
SUB_11003_07,SUB_11003,Skirts,Skirts,Skirts,Skirts,1,1,1,1,0,1,,Catalog (default),,Skirts,Skirts,Skirts,Skirts,Skirts,Skirts,Skirts,Skirts,Skirts,,,,,,
SUB_11003_08,SUB_11003,Ladies underwear,Ladies underwear,Ladies underwear,Ladies underwear,1,1,1,1,0,1,,Catalog (default),,Ladies underwear,Ladies underwear,Ladies underwear,Ladies underwear,Ladies underwear,Ladies underwear,Ladies underwear,Ladies underwear,Ladies underwear,,,,,,
SUB_11003_09,SUB_11003,Ladies swimwear,Ladies swimwear,Ladies swimwear,Ladies swimwear,1,1,1,1,0,1,,Catalog (default),,Ladies swimwear,Ladies swimwear,Ladies swimwear,Ladies swimwear,Ladies swimwear,Ladies swimwear,Ladies swimwear,Ladies swimwear,Ladies swimwear,,,,,,
SUB_11003_10,SUB_11003,Ladies nightwear,Ladies nightwear,Ladies nightwear,Ladies nightwear,1,1,1,1,0,1,,Catalog (default),,Ladies nightwear,Ladies nightwear,Ladies nightwear,Ladies nightwear,Ladies nightwear,Ladies nightwear,Ladies nightwear,Ladies nightwear,Ladies nightwear,,,,,,
SUB_11004,MC_11001,Clothing for Men,Clothing for Men,Clothing for Men,Clothing for Men,1,1,1,1,0,1,,Catalog (default),,Clothing for Men,Clothing for Men,Clothing for Men,Clothing for Men,Clothing for Men,Clothing for Men,Clothing for Men,Clothing for Men,Clothing for Men,,,,,,
SUB_11004_01,SUB_11004,Jacket & Coats for men,Jacket & Coats for men,Jacket & Coats for men,Jacket & Coats for men,1,1,1,1,0,1,,Catalog (default),,Jacket & Coats for men,Jacket & Coats for men,Jacket & Coats for men,Jacket & Coats for men,Jacket & Coats for men,Jacket & Coats for men,Jacket & Coats for men,Jacket & Coats for men,Jacket & Coats for men,,,,,,
SUB_11004_02,SUB_11004,Pants for men,Pants for men,Pants for men,Pants for men,1,1,1,1,0,1,,Catalog (default),,Pants for men,Pants for men,Pants for men,Pants for men,Pants for men,Pants for men,Pants for men,Pants for men,Pants for men,,,,,,
SUB_11004_03,SUB_11004,T-Shirts for men,T-Shirts for men,T-Shirts for men,T-Shirts for men,1,1,1,1,0,1,,Catalog (default),,T-Shirts for men,T-Shirts for men,T-Shirts for men,T-Shirts for men,T-Shirts for men,T-Shirts for men,T-Shirts for men,T-Shirts for men,T-Shirts for men,,,,,,
SUB_11004_04,SUB_11004,Shirts for men,Shirts for men,Shirts for men,Shirts for men,1,1,1,1,0,1,,Catalog (default),,Shirts for men,Shirts for men,Shirts for men,Shirts for men,Shirts for men,Shirts for men,Shirts for men,Shirts for men,Shirts for men,,,,,,
SUB_11004_05,SUB_11004,Sweater for men,Sweater for men,Sweater for men,Sweater for men,1,1,1,1,0,1,,Catalog (default),,Sweater for men,Sweater for men,Sweater for men,Sweater for men,Sweater for men,Sweater for men,Sweater for men,Sweater for men,Sweater for men,,,,,,
SUB_11004_06,SUB_11004,Underwear for men,Underwear for men,Underwear for men,Underwear for men,1,1,1,1,0,1,,Catalog (default),,Underwear for men,Underwear for men,Underwear for men,Underwear for men,Underwear for men,Underwear for men,Underwear for men,Underwear for men,Underwear for men,,,,,,
SUB_11004_07,SUB_11004,Swimwear for men,Swimwear for men,Swimwear for men,Swimwear for men,1,1,1,1,0,1,,Catalog (default),,Swimwear for men,Swimwear for men,Swimwear for men,Swimwear for men,Swimwear for men,Swimwear for men,Swimwear for men,Swimwear for men,Swimwear for men,,,,,,
SUB_11004_08,SUB_11004,Sleepwear for men,Sleepwear for men,Sleepwear for men,Sleepwear for men,1,1,1,1,0,1,,Catalog (default),,Sleepwear for men,Sleepwear for men,Sleepwear for men,Sleepwear for men,Sleepwear for men,Sleepwear for men,Sleepwear for men,Sleepwear for men,Sleepwear for men,,,,,,
SUB_11004_09,SUB_11004,Suits for men,Suits for men,Suits for men,Suits for men,1,1,1,1,0,1,,Catalog (default),,Suits for men,Suits for men,Suits for men,Suits for men,Suits for men,Suits for men,Suits for men,Suits for men,Suits for men,,,,,,
SUB_11005,MC_11001,Clothes for Kids,Clothes for Kids,Clothes for Kids,Clothes for Kids,1,1,1,1,0,1,,Catalog (default),,Clothes for Kids,Clothes for Kids,Clothes for Kids,Clothes for Kids,Clothes for Kids,Clothes for Kids,Clothes for Kids,Clothes for Kids,Clothes for Kids,,,,,,
SUB_11005_01,SUB_11005,Kids Jackets & Coats,Kids Jackets & Coats,Kids Jackets & Coats,Kids Jackets & Coats,1,1,1,1,0,1,,Catalog (default),,Kids Jackets & Coats,Kids Jackets & Coats,Kids Jackets & Coats,Kids Jackets & Coats,Kids Jackets & Coats,Kids Jackets & Coats,Kids Jackets & Coats,Kids Jackets & Coats,Kids Jackets & Coats,,,,,,
SUB_11005_02,SUB_11005,Kids Pants,Kids Pants,Kids Pants,Kids Pants,1,1,1,1,0,1,,Catalog (default),,Kids Pants,Kids Pants,Kids Pants,Kids Pants,Kids Pants,Kids Pants,Kids Pants,Kids Pants,Kids Pants,,,,,,
SUB_11005_03,SUB_11005,Shirts for kids,Shirts for kids,Shirts for kids,Shirts for kids,1,1,1,1,0,1,,Catalog (default),,Shirts for kids,Shirts for kids,Shirts for kids,Shirts for kids,Shirts for kids,Shirts for kids,Shirts for kids,Shirts for kids,Shirts for kids,,,,,,
SUB_11005_04,SUB_11005,Dresses for kids,Dresses for kids,Dresses for kids,Dresses for kids,1,1,1,1,0,1,,Catalog (default),,Dresses for kids,Dresses for kids,Dresses for kids,Dresses for kids,Dresses for kids,Dresses for kids,Dresses for kids,Dresses for kids,Dresses for kids,,,,,,
SUB_11005_05,SUB_11005,Kids Sweaters,Kids Sweaters,Kids Sweaters,Kids Sweaters,1,1,1,1,0,1,,Catalog (default),,Kids Sweaters,Kids Sweaters,Kids Sweaters,Kids Sweaters,Kids Sweaters,Kids Sweaters,Kids Sweaters,Kids Sweaters,Kids Sweaters,,,,,,
SUB_11005_06,SUB_11005,Children underwear,Children underwear,Children underwear,Children underwear,1,1,1,1,0,1,,Catalog (default),,Children underwear,Children underwear,Children underwear,Children underwear,Children underwear,Children underwear,Children underwear,Children underwear,Children underwear,,,,,,
SUB_11005_07,SUB_11005,Children swimwear,Children swimwear,Children swimwear,Children swimwear,1,1,1,1,0,1,,Catalog (default),,Children swimwear,Children swimwear,Children swimwear,Children swimwear,Children swimwear,Children swimwear,Children swimwear,Children swimwear,Children swimwear,,,,,,
SUB_11005_08,SUB_11005,Children accessories,Children accessories,Children accessories,Children accessories,1,1,1,1,0,1,,Catalog (default),,Children accessories,Children accessories,Children accessories,Children accessories,Children accessories,Children accessories,Children accessories,Children accessories,Children accessories,,,,,,
SUB_11006,MC_11001,Handicrafts,Handicrafts,Handicrafts,Handicrafts,1,1,1,1,0,1,,Catalog (default),,Handicrafts,Handicrafts,Handicrafts,Handicrafts,Handicrafts,Handicrafts,Handicrafts,Handicrafts,Handicrafts,,,,,,
SUB_11007,MC_11001,"Suitcases, Backpacks & Bags","Suitcases, Backpacks & Bags","Suitcases, Backpacks & Bags","Suitcases, Backpacks & Bags",1,1,1,1,0,1,920,Catalog (default),,"Suitcases, Backpacks & Bags","Suitcases, Backpacks & Bags","Suitcases, Backpacks & Bags","Suitcases, Backpacks & Bags","Suitcases, Backpacks & Bags","Suitcases, Backpacks & Bags","Suitcases, Backpacks & Bags","Suitcases, Backpacks & Bags","Suitcases, Backpacks & Bags",,,,,,
SUB_11008,MC_11001,Jewelry,Jewelry,Jewelry,Jewelry,1,1,1,1,0,1,,Catalog (default),,Jewelry,Jewelry,Jewelry,Jewelry,Jewelry,Jewelry,Jewelry,Jewelry,Jewelry,,,,,,
SUB_11009,MC_11001,Shoes,Shoes,Shoes,Shoes,1,1,1,1,0,1,,Catalog (default),,Shoes,Shoes,Shoes,Shoes,Shoes,Shoes,Shoes,Shoes,Shoes,,,,,,
SUB_11009_01,SUB_11009,Shoes for men,Shoes for men,Shoes for men,Shoes for men,1,1,1,1,0,1,,Catalog (default),,Shoes for men,Shoes for men,Shoes for men,Shoes for men,Shoes for men,Shoes for men,Shoes for men,Shoes for men,Shoes for men,,,,,,
SUB_11009_02,SUB_11009,Shoes for women,Shoes for women,Shoes for women,Shoes for women,1,1,1,1,0,1,,Catalog (default),,Shoes for women,Shoes for women,Shoes for women,Shoes for women,Shoes for women,Shoes for women,Shoes for women,Shoes for women,Shoes for women,,,,,,
SUB_11009_03,SUB_11009,Shoes for Kids,Shoes for Kids,Shoes for Kids,Shoes for Kids,1,1,1,1,0,1,,Catalog (default),,Shoes for Kids,Shoes for Kids,Shoes for Kids,Shoes for Kids,Shoes for Kids,Shoes for Kids,Shoes for Kids,Shoes for Kids,Shoes for Kids,,,,,,
SUB_11009_04,SUB_11009,Sneakers,Sneakers,Sneakers,Sneakers,1,1,1,1,0,1,,Catalog (default),,Sneakers,Sneakers,Sneakers,Sneakers,Sneakers,Sneakers,Sneakers,Sneakers,Sneakers,,,,,,
SUB_11009_05,SUB_11009,Shoes for everyone,Shoes for everyone,Shoes for everyone,Shoes for everyone,1,1,1,1,0,1,,Catalog (default),,Shoes for everyone,Shoes for everyone,Shoes for everyone,Shoes for everyone,Shoes for everyone,Shoes for everyone,Shoes for everyone,Shoes for everyone,Shoes for everyone,,,,,,
SUB_11010,MC_11001,Watches,Watches,Watches,Watches,1,1,1,1,0,1,,Catalog (default),,Watches,Watches,Watches,Watches,Watches,Watches,Watches,Watches,Watches,,,,,,
SUB_11011,MC_11001,Work clothing,Work clothing,Work clothing,Work clothing,1,1,1,1,0,1,,Catalog (default),,Work clothing,Work clothing,Work clothing,Work clothing,Work clothing,Work clothing,Work clothing,Work clothing,Work clothing,,,,,,
SUB_11012,MC_11001,Clothing for everyone,Clothing for everyone,Clothing for everyone,Clothing for everyone,1,1,1,1,0,1,,Catalog (default),,Clothing for everyone,Clothing for everyone,Clothing for everyone,Clothing for everyone,Clothing for everyone,Clothing for everyone,Clothing for everyone,Clothing for everyone,Clothing for everyone,,,,,,
SUB_11012_01,SUB_11012,"Suits, Jackets & Coats","Suits, Jackets & Coats","Suits, Jackets & Coats","Suits, Jackets & Coats",1,1,1,1,0,1,,Catalog (default),,"Suits, Jackets & Coats","Suits, Jackets & Coats","Suits, Jackets & Coats","Suits, Jackets & Coats","Suits, Jackets & Coats","Suits, Jackets & Coats","Suits, Jackets & Coats","Suits, Jackets & Coats","Suits, Jackets & Coats",,,,,,
SUB_11012_02,SUB_11012,T-Shirts,T-Shirts,T-Shirts,T-Shirts,1,1,1,1,0,1,,Catalog (default),,T-Shirts,T-Shirts,T-Shirts,T-Shirts,T-Shirts,T-Shirts,T-Shirts,T-Shirts,T-Shirts,,,,,,
SUB_11012_03,SUB_11012,Shirts & Blouses,Shirts & Blouses,Shirts & Blouses,Shirts & Blouses,1,1,1,1,0,1,,Catalog (default),,Shirts & Blouses,Shirts & Blouses,Shirts & Blouses,Shirts & Blouses,Shirts & Blouses,Shirts & Blouses,Shirts & Blouses,Shirts & Blouses,Shirts & Blouses,,,,,,
SUB_11012_04,SUB_11012,Sweaters & Hoodies,Sweaters & Hoodies,Sweaters & Hoodies,Sweaters & Hoodies,1,1,1,1,0,1,,Catalog (default),,Sweaters & Hoodies,Sweaters & Hoodies,Sweaters & Hoodies,Sweaters & Hoodies,Sweaters & Hoodies,Sweaters & Hoodies,Sweaters & Hoodies,Sweaters & Hoodies,Sweaters & Hoodies,,,,,,
SUB_11012_05,SUB_11012,Dresses & Skirts,Dresses & Skirts,Dresses & Skirts,Dresses & Skirts,1,1,1,1,0,1,,Catalog (default),,Dresses & Skirts,Dresses & Skirts,Dresses & Skirts,Dresses & Skirts,Dresses & Skirts,Dresses & Skirts,Dresses & Skirts,Dresses & Skirts,Dresses & Skirts,,,,,,
SUB_11012_06,SUB_11012,Underwear,Underwear,Underwear,Underwear,1,1,1,1,0,1,,Catalog (default),,Underwear,Underwear,Underwear,Underwear,Underwear,Underwear,Underwear,Underwear,Underwear,,,,,,
SUB_11012_07,SUB_11012,Swimwear,Swimwear,Swimwear,Swimwear,1,1,1,1,0,1,,Catalog (default),,Swimwear,Swimwear,Swimwear,Swimwear,Swimwear,Swimwear,Swimwear,Swimwear,Swimwear,,,,,,
SUB_12001,MC_12001,Camping,Camping,Camping,Camping,1,1,1,1,0,1,,Catalog (default),,Camping,Camping,Camping,Camping,Camping,Camping,Camping,Camping,Camping,,,,,,
SUB_12002,MC_12001,Scooter & E-Scooter,Scooter & E-Scooter,Scooter & E-Scooter,Scooter & E-Scooter,1,1,1,1,0,1,,Catalog (default),,Scooter & E-Scooter,Scooter & E-Scooter,Scooter & E-Scooter,Scooter & E-Scooter,Scooter & E-Scooter,Scooter & E-Scooter,Scooter & E-Scooter,Scooter & E-Scooter,Scooter & E-Scooter,,,,,,
SUB_12003,MC_12001,Bicycle world,Bicycle world,Bicycle world,Bicycle world,1,1,1,1,0,1,,Catalog (default),,Bicycle world,Bicycle world,Bicycle world,Bicycle world,Bicycle world,Bicycle world,Bicycle world,Bicycle world,Bicycle world,,,,,,
SUB_12003_01,SUB_12003,E-bikes,E-bikes,E-bikes,E-bikes,1,1,1,1,0,1,,Catalog (default),,E-bikes,E-bikes,E-bikes,E-bikes,E-bikes,E-bikes,E-bikes,E-bikes,E-bikes,,,,,,
