category_key,parent_category_key,name.en_US,name.en_GB,name.en_IE,name.fr_BE,name.nl_BE,name.nl_NL,meta_title.en_US,meta_title.en_GB,meta_title.en_IE,meta_title.fr_BE,meta_title.nl_BE,meta_title.nl_NL,meta_description.en_US,meta_description.en_GB,meta_description.en_IE,meta_description.fr_BE,meta_description.nl_BE,meta_description.nl_NL,meta_keywords.en_US,meta_keywords.en_GB,meta_keywords.en_IE,meta_keywords.fr_BE,meta_keywords.nl_BE,meta_keywords.nl_NL,is_active,is_in_menu,is_clickable,is_searchable,is_root,is_main,node_order,template_name,category_image_name.en_US,category_image_name.en_GB,category_image_name.en_IE,category_image_name.fr_BE,category_image_name.nl_BE,category_image_name.nl_NL
SUB_20003,MC_20001,Baby monitors & safety,Baby monitors & safety,Baby monitors & safety,Baby monitors & safety,Baby monitors & safety,Baby monitors & safety,Baby monitors & safety,Baby monitors & safety,Baby monitors & safety,Baby monitors & safety,Baby monitors & safety,Baby monitors & safety,Baby monitors & safety,Baby monitors & safety,Baby monitors & safety,Baby monitors & safety,Baby monitors & safety,Baby monitors & safety,Baby monitors & safety,Baby monitors & safety,Baby monitors & safety,Baby monitors & safety,Baby monitors & safety,Baby monitors & safety,1,1,1,1,0,1,,Catalog (default),,,,,,
SUB_20004,MC_20001,Baby carriers & traveling with babies,Baby carriers & traveling with babies,Baby carriers & traveling with babies,Baby carriers & traveling with babies,Baby carriers & traveling with babies,Baby carriers & traveling with babies,Baby carriers & traveling with babies,Baby carriers & traveling with babies,Baby carriers & traveling with babies,Baby carriers & traveling with babies,Baby carriers & traveling with babies,Baby carriers & traveling with babies,Baby carriers & traveling with babies,Baby carriers & traveling with babies,Baby carriers & traveling with babies,Baby carriers & traveling with babies,Baby carriers & traveling with babies,Baby carriers & traveling with babies,Baby carriers & traveling with babies,Baby carriers & traveling with babies,Baby carriers & traveling with babies,Baby carriers & traveling with babies,Baby carriers & traveling with babies,Baby carriers & traveling with babies,1,1,1,1,0,1,,Catalog (default),,,,,,
SUB_20005,MC_20001,Child Seats,Child Seats,Child Seats,Child Seats,Child Seats,Child Seats,Child Seats,Child Seats,Child Seats,Child Seats,Child Seats,Child Seats,Child Seats,Child Seats,Child Seats,Child Seats,Child Seats,Child Seats,Child Seats,Child Seats,Child Seats,Child Seats,Child Seats,Child Seats,1,1,1,1,0,1,,Catalog (default),,,,,,
SUB_20006,MC_20001,Strollers & Accessories,Strollers & Accessories,Strollers & Accessories,Strollers & Accessories,Strollers & Accessories,Strollers & Accessories,Strollers & Accessories,Strollers & Accessories,Strollers & Accessories,Strollers & Accessories,Strollers & Accessories,Strollers & Accessories,Strollers & Accessories,Strollers & Accessories,Strollers & Accessories,Strollers & Accessories,Strollers & Accessories,Strollers & Accessories,Strollers & Accessories,Strollers & Accessories,Strollers & Accessories,Strollers & Accessories,Strollers & Accessories,Strollers & Accessories,1,1,1,1,0,1,,Catalog (default),,,,,,
SUB_20007,MC_20001,Nursery,Nursery,Nursery,Nursery,Nursery,Nursery,Nursery,Nursery,Nursery,Nursery,Nursery,Nursery,Nursery,Nursery,Nursery,Nursery,Nursery,Nursery,Nursery,Nursery,Nursery,Nursery,Nursery,Nursery,1,1,1,1,0,1,,Catalog (default),,,,,,
SUB_20008,MC_20001,Toys,Toys,Toys,Toys,Toys,Toys,Toys,Toys,Toys,Toys,Toys,Toys,Toys,Toys,Toys,Toys,Toys,Toys,Toys,Toys,Toys,Toys,Toys,Toys,1,1,1,1,0,1,,Catalog (default),,,,,,
SUB_20008_01,SUB_20008,Learning toys,Learning toys,Learning toys,Learning toys,Learning toys,Learning toys,Learning toys,Learning toys,Learning toys,Learning toys,Learning toys,Learning toys,Learning toys,Learning toys,Learning toys,Learning toys,Learning toys,Learning toys,Learning toys,Learning toys,Learning toys,Learning toys,Learning toys,Learning toys,1,1,1,1,0,1,,Catalog (default),,,,,,
SUB_20008_02,SUB_20008,Outdoor toys,Outdoor toys,Outdoor toys,Outdoor toys,Outdoor toys,Outdoor toys,Outdoor toys,Outdoor toys,Outdoor toys,Outdoor toys,Outdoor toys,Outdoor toys,Outdoor toys,Outdoor toys,Outdoor toys,Outdoor toys,Outdoor toys,Outdoor toys,Outdoor toys,Outdoor toys,Outdoor toys,Outdoor toys,Outdoor toys,Outdoor toys,1,1,1,1,0,1,,Catalog (default),,,,,,
SUB_20008_03,SUB_20008,Wooden toys,Wooden toys,Wooden toys,Wooden toys,Wooden toys,Wooden toys,Wooden toys,Wooden toys,Wooden toys,Wooden toys,Wooden toys,Wooden toys,Wooden toys,Wooden toys,Wooden toys,Wooden toys,Wooden toys,Wooden toys,Wooden toys,Wooden toys,Wooden toys,Wooden toys,Wooden toys,Wooden toys,1,1,1,1,0,1,,Catalog (default),,,,,,
SUB_20008_04,SUB_20008,Board games,Board games,Board games,Board games,Board games,Board games,Board games,Board games,Board games,Board games,Board games,Board games,Board games,Board games,Board games,Board games,Board games,Board games,Board games,Board games,Board games,Board games,Board games,Board games,1,1,1,1,0,1,,Catalog (default),,,,,,
SUB_20008_05,SUB_20008,Electric toys,Electric toys,Electric toys,Electric toys,Electric toys,Electric toys,Electric toys,Electric toys,Electric toys,Electric toys,Electric toys,Electric toys,Electric toys,Electric toys,Electric toys,Electric toys,Electric toys,Electric toys,Electric toys,Electric toys,Electric toys,Electric toys,Electric toys,Electric toys,1,1,1,1,0,1,,Catalog (default),,,,,,
SUB_20008_06,SUB_20008,Children´s vehicles,Children´s vehicles,Children´s vehicles,Children´s vehicles,Children´s vehicles,Children´s vehicles,Children´s vehicles,Children´s vehicles,Children´s vehicles,Children´s vehicles,Children´s vehicles,Children´s vehicles,Children´s vehicles,Children´s vehicles,Children´s vehicles,Children´s vehicles,Children´s vehicles,Children´s vehicles,Children´s vehicles,Children´s vehicles,Children´s vehicles,Children´s vehicles,Children´s vehicles,Children´s vehicles,1,1,1,1,0,1,,Catalog (default),,,,,,
SUB_20008_07,SUB_20008,Game & action figures,Game & action figures,Game & action figures,Game & action figures,Game & action figures,Game & action figures,Game & action figures,Game & action figures,Game & action figures,Game & action figures,Game & action figures,Game & action figures,Game & action figures,Game & action figures,Game & action figures,Game & action figures,Game & action figures,Game & action figures,Game & action figures,Game & action figures,Game & action figures,Game & action figures,Game & action figures,Game & action figures,1,1,1,1,0,1,,Catalog (default),,,,,,
SUB_20008_08,SUB_20008,Construction kits / building blocks,Construction kits / building blocks,Construction kits / building blocks,Construction kits / building blocks,Construction kits / building blocks,Construction kits / building blocks,Construction kits / building blocks,Construction kits / building blocks,Construction kits / building blocks,Construction kits / building blocks,Construction kits / building blocks,Construction kits / building blocks,Construction kits / building blocks,Construction kits / building blocks,Construction kits / building blocks,Construction kits / building blocks,Construction kits / building blocks,Construction kits / building blocks,Construction kits / building blocks,Construction kits / building blocks,Construction kits / building blocks,Construction kits / building blocks,Construction kits / building blocks,Construction kits / building blocks,1,1,1,1,0,1,,Catalog (default),,,,,,
SUB_20008_09,SUB_20008,Racetrack,Racetrack,Racetrack,Racetrack,Racetrack,Racetrack,Racetrack,Racetrack,Racetrack,Racetrack,Racetrack,Racetrack,Racetrack,Racetrack,Racetrack,Racetrack,Racetrack,Racetrack,Racetrack,Racetrack,Racetrack,Racetrack,Racetrack,Racetrack,1,1,1,1,0,1,,Catalog (default),,,,,,
SUB_20008_10,SUB_20008,Painting & handicrafts,Painting & handicrafts,Painting & handicrafts,Painting & handicrafts,Painting & handicrafts,Painting & handicrafts,Painting & handicrafts,Painting & handicrafts,Painting & handicrafts,Painting & handicrafts,Painting & handicrafts,Painting & handicrafts,Painting & handicrafts,Painting & handicrafts,Painting & handicrafts,Painting & handicrafts,Painting & handicrafts,Painting & handicrafts,Painting & handicrafts,Painting & handicrafts,Painting & handicrafts,Painting & handicrafts,Painting & handicrafts,Painting & handicrafts,1,1,1,1,0,1,,Catalog (default),,,,,,
SUB_20008_11,SUB_20008,Stuffed animals,Stuffed animals,Stuffed animals,Stuffed animals,Stuffed animals,Stuffed animals,Stuffed animals,Stuffed animals,Stuffed animals,Stuffed animals,Stuffed animals,Stuffed animals,Stuffed animals,Stuffed animals,Stuffed animals,Stuffed animals,Stuffed animals,Stuffed animals,Stuffed animals,Stuffed animals,Stuffed animals,Stuffed animals,Stuffed animals,Stuffed animals,1,1,1,1,0,1,,Catalog (default),,,,,,
MC_30001,shop,Health & Beauty,Health & Beauty,Health & Beauty,Health & Beauty,Health & Beauty,Health & Beauty,Health & Beauty,Health & Beauty,Health & Beauty,Health & Beauty,Health & Beauty,Health & Beauty,Health & Beauty,Health & Beauty,Health & Beauty,Health & Beauty,Health & Beauty,Health & Beauty,Health & Beauty,Health & Beauty,Health & Beauty,Health & Beauty,Health & Beauty,Health & Beauty,1,1,1,1,0,1,,Catalog (default),,,,,,
SUB_30001,MC_30001,Household Items,Household Items,Household Items,Household Items,Household Items,Household Items,Household Items,Household Items,Household Items,Household Items,Household Items,Household Items,Household Items,Household Items,Household Items,Household Items,Household Items,Household Items,Household Items,Household Items,Household Items,Household Items,Household Items,Household Items,1,1,1,1,0,1,,Catalog (default),,,,,,
SUB_30002,MC_30001,Contact Lenses & Glasses,Contact Lenses & Glasses,Contact Lenses & Glasses,Contact Lenses & Glasses,Contact Lenses & Glasses,Contact Lenses & Glasses,Contact Lenses & Glasses,Contact Lenses & Glasses,Contact Lenses & Glasses,Contact Lenses & Glasses,Contact Lenses & Glasses,Contact Lenses & Glasses,Contact Lenses & Glasses,Contact Lenses & Glasses,Contact Lenses & Glasses,Contact Lenses & Glasses,Contact Lenses & Glasses,Contact Lenses & Glasses,Contact Lenses & Glasses,Contact Lenses & Glasses,Contact Lenses & Glasses,Contact Lenses & Glasses,Contact Lenses & Glasses,Contact Lenses & Glasses,1,1,1,1,0,1,,Catalog (default),,,,,,
SUB_30003,MC_30001,Cosmetics & Fragrances,Cosmetics & Fragrances,Cosmetics & Fragrances,Cosmetics & Fragrances,Cosmetics & Fragrances,Cosmetics & Fragrances,Cosmetics & Fragrances,Cosmetics & Fragrances,Cosmetics & Fragrances,Cosmetics & Fragrances,Cosmetics & Fragrances,Cosmetics & Fragrances,Cosmetics & Fragrances,Cosmetics & Fragrances,Cosmetics & Fragrances,Cosmetics & Fragrances,Cosmetics & Fragrances,Cosmetics & Fragrances,Cosmetics & Fragrances,Cosmetics & Fragrances,Cosmetics & Fragrances,Cosmetics & Fragrances,Cosmetics & Fragrances,Cosmetics & Fragrances,1,1,1,1,0,1,,Catalog (default),,,,,,
SUB_30003_01,SUB_30003,Women´s fragrances,Women´s fragrances,Women´s fragrances,Women´s fragrances,Women´s fragrances,Women´s fragrances,Women´s fragrances,Women´s fragrances,Women´s fragrances,Women´s fragrances,Women´s fragrances,Women´s fragrances,Women´s fragrances,Women´s fragrances,Women´s fragrances,Women´s fragrances,Women´s fragrances,Women´s fragrances,Women´s fragrances,Women´s fragrances,Women´s fragrances,Women´s fragrances,Women´s fragrances,Women´s fragrances,1,1,1,1,0,1,,Catalog (default),,,,,,
SUB_30003_02,SUB_30003,Men´s fragrances,Men´s fragrances,Men´s fragrances,Men´s fragrances,Men´s fragrances,Men´s fragrances,Men´s fragrances,Men´s fragrances,Men´s fragrances,Men´s fragrances,Men´s fragrances,Men´s fragrances,Men´s fragrances,Men´s fragrances,Men´s fragrances,Men´s fragrances,Men´s fragrances,Men´s fragrances,Men´s fragrances,Men´s fragrances,Men´s fragrances,Men´s fragrances,Men´s fragrances,Men´s fragrances,1,1,1,1,0,1,,Catalog (default),,,,,,
SUB_30004,MC_30001,Body Hygiene & Care,Body Hygiene & Care,Body Hygiene & Care,Body Hygiene & Care,Body Hygiene & Care,Body Hygiene & Care,Body Hygiene & Care,Body Hygiene & Care,Body Hygiene & Care,Body Hygiene & Care,Body Hygiene & Care,Body Hygiene & Care,Body Hygiene & Care,Body Hygiene & Care,Body Hygiene & Care,Body Hygiene & Care,Body Hygiene & Care,Body Hygiene & Care,Body Hygiene & Care,Body Hygiene & Care,Body Hygiene & Care,Body Hygiene & Care,Body Hygiene & Care,Body Hygiene & Care,1,1,1,1,0,1,,Catalog (default),,,,,,
SUB_30004_01,SUB_30004,Shower & bath products,Shower & bath products,Shower & bath products,Shower & bath products,Shower & bath products,Shower & bath products,Shower & bath products,Shower & bath products,Shower & bath products,Shower & bath products,Shower & bath products,Shower & bath products,Shower & bath products,Shower & bath products,Shower & bath products,Shower & bath products,Shower & bath products,Shower & bath products,Shower & bath products,Shower & bath products,Shower & bath products,Shower & bath products,Shower & bath products,Shower & bath products,1,1,1,1,0,1,,Catalog (default),,,,,,
SUB_30004_02,SUB_30004,Deodorants,Deodorants,Deodorants,Deodorants,Deodorants,Deodorants,Deodorants,Deodorants,Deodorants,Deodorants,Deodorants,Deodorants,Deodorants,Deodorants,Deodorants,Deodorants,Deodorants,Deodorants,Deodorants,Deodorants,Deodorants,Deodorants,Deodorants,Deodorants,1,1,1,1,0,1,,Catalog (default),,,,,,
SUB_30004_03,SUB_30004,Sun Care,Sun Care,Sun Care,Sun Care,Sun Care,Sun Care,Sun Care,Sun Care,Sun Care,Sun Care,Sun Care,Sun Care,Sun Care,Sun Care,Sun Care,Sun Care,Sun Care,Sun Care,Sun Care,Sun Care,Sun Care,Sun Care,Sun Care,Sun Care,1,1,1,1,0,1,,Catalog (default),,,,,,
SUB_30004_04,SUB_30004,Dental Care,Dental Care,Dental Care,Dental Care,Dental Care,Dental Care,Dental Care,Dental Care,Dental Care,Dental Care,Dental Care,Dental Care,Dental Care,Dental Care,Dental Care,Dental Care,Dental Care,Dental Care,Dental Care,Dental Care,Dental Care,Dental Care,Dental Care,Dental Care,1,1,1,1,0,1,,Catalog (default),,,,,,
SUB_30005,MC_30001,Love & Contraception,Love & Contraception,Love & Contraception,Love & Contraception,Love & Contraception,Love & Contraception,Love & Contraception,Love & Contraception,Love & Contraception,Love & Contraception,Love & Contraception,Love & Contraception,Love & Contraception,Love & Contraception,Love & Contraception,Love & Contraception,Love & Contraception,Love & Contraception,Love & Contraception,Love & Contraception,Love & Contraception,Love & Contraception,Love & Contraception,Love & Contraception,1,1,1,1,0,1,,Catalog (default),,,,,,
SUB_30006,MC_30001,Medicine & Food Supplements,Medicine & Food Supplements,Medicine & Food Supplements,Medicine & Food Supplements,Medicine & Food Supplements,Medicine & Food Supplements,Medicine & Food Supplements,Medicine & Food Supplements,Medicine & Food Supplements,Medicine & Food Supplements,Medicine & Food Supplements,Medicine & Food Supplements,Medicine & Food Supplements,Medicine & Food Supplements,Medicine & Food Supplements,Medicine & Food Supplements,Medicine & Food Supplements,Medicine & Food Supplements,Medicine & Food Supplements,Medicine & Food Supplements,Medicine & Food Supplements,Medicine & Food Supplements,Medicine & Food Supplements,Medicine & Food Supplements,1,1,1,1,0,1,,Catalog (default),,,,,,
SUB_30007,MC_30001,Medical supplies & clinic supplies,Medical supplies & clinic supplies,Medical supplies & clinic supplies,Medical supplies & clinic supplies,Medical supplies & clinic supplies,Medical supplies & clinic supplies,Medical supplies & clinic supplies,Medical supplies & clinic supplies,Medical supplies & clinic supplies,Medical supplies & clinic supplies,Medical supplies & clinic supplies,Medical supplies & clinic supplies,Medical supplies & clinic supplies,Medical supplies & clinic supplies,Medical supplies & clinic supplies,Medical supplies & clinic supplies,Medical supplies & clinic supplies,Medical supplies & clinic supplies,Medical supplies & clinic supplies,Medical supplies & clinic supplies,Medical supplies & clinic supplies,Medical supplies & clinic supplies,Medical supplies & clinic supplies,Medical supplies & clinic supplies,1,1,1,1,0,1,,Catalog (default),,,,,,
MC_40001,shop,"Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music",1,1,1,1,0,1,,Catalog (default),,,,,,
SUB_40001,MC_40001,Books,Books,Books,Books,Books,Books,Books,Books,Books,Books,Books,Books,Books,Books,Books,Books,Books,Books,Books,Books,Books,Books,Books,Books,1,1,1,1,0,1,,Catalog (default),,,,,,
SUB_40002,MC_40001,Audio Books,Audio Books,Audio Books,Audio Books,Audio Books,Audio Books,Audio Books,Audio Books,Audio Books,Audio Books,Audio Books,Audio Books,Audio Books,Audio Books,Audio Books,Audio Books,Audio Books,Audio Books,Audio Books,Audio Books,Audio Books,Audio Books,Audio Books,Audio Books,1,1,1,1,0,1,,Catalog (default),,,,,,
SUB_40003,MC_40001,Calendar,Calendar,Calendar,Calendar,Calendar,Calendar,Calendar,Calendar,Calendar,Calendar,Calendar,Calendar,Calendar,Calendar,Calendar,Calendar,Calendar,Calendar,Calendar,Calendar,Calendar,Calendar,Calendar,Calendar,1,1,1,1,0,1,,Catalog (default),,,,,,
SUB_40004,MC_40001,Movies,Movies,Movies,Movies,Movies,Movies,Movies,Movies,Movies,Movies,Movies,Movies,Movies,Movies,Movies,Movies,Movies,Movies,Movies,Movies,Movies,Movies,Movies,Movies,1,1,1,1,0,1,,Catalog (default),,,,,,
