category_key,parent_category_key,name.en_US,meta_title.en_US,meta_description.en_US,meta_keywords.en_US,is_active,is_in_menu,is_clickable,is_searchable,is_root,is_main,node_order,template_name,category_image_name.en_US,name.sl_SI,name.hr_HR,name.bs_BA,name.sr_RS,meta_title.sl_SI,meta_title.hr_HR,meta_title.bs_BA,meta_title.sr_RS,meta_description.sl_SI,meta_description.hr_HR,meta_description.bs_BA,meta_description.sr_RS,meta_keywords.sl_SI,meta_keywords.hr_HR,meta_keywords.bs_BA,meta_keywords.sr_RS,category_image_name.sl_SI,category_image_name.hr_HR,category_image_name.bs_BA,category_image_name.sr_RS,name.sr_ME,meta_title.sr_ME,meta_description.sr_ME,meta_keywords.sr_ME,category_image_name.sr_ME
SUB_10008,MC_10001,Motorcycle Supplies,Motorcycle Supplies,Motorcycle Supplies,Motorcycle Supplies,1,1,1,1,0,1,,Catalog (default),,Motorradbedarf,Motorradbedarf,Motorradbedarf,Motorradbedarf,Motorradbedarf,Motorradbedarf,Motorradbedarf,Motorradbedarf,Motorradbedarf,Motorradbedarf,Motorradbedarf,Motorradbedarf,Motorradbedarf,Motorradbedarf,Motorradbedarf,Motorradbedarf,,,,,Motorcycle Supplies,Motorcycle Supplies,Motorcycle Supplies,Motorcycle Supplies,
SUB_10009,MC_10001,Oils & Maintenance,Oils & Maintenance,Oils & Maintenance,Oils & Maintenance,1,1,1,1,0,1,,Catalog (default),,Öle & Wartungsmittel,Öle & Wartungsmittel,Öle & Wartungsmittel,Öle & Wartungsmittel,Öle & Wartungsmittel,Öle & Wartungsmittel,Öle & Wartungsmittel,Öle & Wartungsmittel,Öle & Wartungsmittel,Öle & Wartungsmittel,Öle & Wartungsmittel,Öle & Wartungsmittel,Öle & Wartungsmittel,Öle & Wartungsmittel,Öle & Wartungsmittel,Öle & Wartungsmittel,,,,,Oils & Maintenance,Oils & Maintenance,Oils & Maintenance,Oils & Maintenance,
SUB_10010,MC_10001,Wheels & Tires,Wheels & Tires,Wheels & Tires,Wheels & Tires,1,1,1,1,0,1,,Catalog (default),,Räder & Reifen,Räder & Reifen,Räder & Reifen,Räder & Reifen,Räder & Reifen,Räder & Reifen,Räder & Reifen,Räder & Reifen,Räder & Reifen,Räder & Reifen,Räder & Reifen,Räder & Reifen,Räder & Reifen,Räder & Reifen,Räder & Reifen,Räder & Reifen,,,,,Wheels & Tires,Wheels & Tires,Wheels & Tires,Wheels & Tires,
SUB_10010_01,SUB_10010,Rims,Rims,Rims,Rims,1,1,1,1,0,1,,Catalog (default),,Felgen,Felgen,Felgen,Felgen,Felgen,Felgen,Felgen,Felgen,Felgen,Felgen,Felgen,Felgen,Felgen,Felgen,Felgen,Felgen,,,,,Rims,Rims,Rims,Rims,
SUB_10010_02,SUB_10010,Summer tires,Summer tires,Summer tires,Summer tires,1,1,1,1,0,1,,Catalog (default),,Sommerreifen,Sommerreifen,Sommerreifen,Sommerreifen,Sommerreifen,Sommerreifen,Sommerreifen,Sommerreifen,Sommerreifen,Sommerreifen,Sommerreifen,Sommerreifen,Sommerreifen,Sommerreifen,Sommerreifen,Sommerreifen,,,,,Summer tires,Summer tires,Summer tires,Summer tires,
SUB_10010_03,SUB_10010,All Season tires,All Season tires,All Season tires,All Season tires,1,1,1,1,0,1,,Catalog (default),,Ganzjahresreifen,Ganzjahresreifen,Ganzjahresreifen,Ganzjahresreifen,Ganzjahresreifen,Ganzjahresreifen,Ganzjahresreifen,Ganzjahresreifen,Ganzjahresreifen,Ganzjahresreifen,Ganzjahresreifen,Ganzjahresreifen,Ganzjahresreifen,Ganzjahresreifen,Ganzjahresreifen,Ganzjahresreifen,,,,,All Season tires,All Season tires,All Season tires,All Season tires,
SUB_10010_04,SUB_10010,Winter tires,Winter tires,Winter tires,Winter tires,1,1,1,1,0,1,,Catalog (default),,Winterreifen,Winterreifen,Winterreifen,Winterreifen,Winterreifen,Winterreifen,Winterreifen,Winterreifen,Winterreifen,Winterreifen,Winterreifen,Winterreifen,Winterreifen,Winterreifen,Winterreifen,Winterreifen,,,,,Winter tires,Winter tires,Winter tires,Winter tires,
SUB_10010_05,SUB_10010,Offroad tires,Offroad tires,Offroad tires,Offroad tires,1,1,1,1,0,1,,Catalog (default),,Offroadreifen,Offroadreifen,Offroadreifen,Offroadreifen,Offroadreifen,Offroadreifen,Offroadreifen,Offroadreifen,Offroadreifen,Offroadreifen,Offroadreifen,Offroadreifen,Offroadreifen,Offroadreifen,Offroadreifen,Offroadreifen,,,,,Offroad tires,Offroad tires,Offroad tires,Offroad tires,
SUB_10010_06,SUB_10010,Truck Tires,Truck Tires,Truck Tires,Truck Tires,1,1,1,1,0,1,,Catalog (default),,LKW Reifen,LKW Reifen,LKW Reifen,LKW Reifen,LKW Reifen,LKW Reifen,LKW Reifen,LKW Reifen,LKW Reifen,LKW Reifen,LKW Reifen,LKW Reifen,LKW Reifen,LKW Reifen,LKW Reifen,LKW Reifen,,,,,Truck Tires,Truck Tires,Truck Tires,Truck Tires,
MC_20001,shop,Baby & Child,Baby & Child,Baby & Child,Baby & Child,1,1,1,1,0,1,,Catalog (default),,Baby & Kind,Baby & Kind,Baby & Kind,Baby & Kind,Baby & Kind,Baby & Kind,Baby & Kind,Baby & Kind,Baby & Kind,Baby & Kind,Baby & Kind,Baby & Kind,Baby & Kind,Baby & Kind,Baby & Kind,Baby & Kind,,,,,Baby & Child,Baby & Child,Baby & Child,Baby & Child,
SUB_20001,MC_20001,Baby food & accessories,Baby food & accessories,Baby food & accessories,Baby food & accessories,1,1,1,1,0,1,,Catalog (default),,Babynahrung & Zubehör,Babynahrung & Zubehör,Babynahrung & Zubehör,Babynahrung & Zubehör,Babynahrung & Zubehör,Babynahrung & Zubehör,Babynahrung & Zubehör,Babynahrung & Zubehör,Babynahrung & Zubehör,Babynahrung & Zubehör,Babynahrung & Zubehör,Babynahrung & Zubehör,Babynahrung & Zubehör,Babynahrung & Zubehör,Babynahrung & Zubehör,Babynahrung & Zubehör,,,,,Baby food & accessories,Baby food & accessories,Baby food & accessories,Baby food & accessories,
SUB_20002,MC_20001,Baby care & diapering accessories,Baby care & diapering accessories,Baby care & diapering accessories,Baby care & diapering accessories,1,1,1,1,0,1,,Catalog (default),,Babypflege & Wickelzubehör,Babypflege & Wickelzubehör,Babypflege & Wickelzubehör,Babypflege & Wickelzubehör,Babypflege & Wickelzubehör,Babypflege & Wickelzubehör,Babypflege & Wickelzubehör,Babypflege & Wickelzubehör,Babypflege & Wickelzubehör,Babypflege & Wickelzubehör,Babypflege & Wickelzubehör,Babypflege & Wickelzubehör,Babypflege & Wickelzubehör,Babypflege & Wickelzubehör,Babypflege & Wickelzubehör,Babypflege & Wickelzubehör,,,,,Baby care & diapering accessories,Baby care & diapering accessories,Baby care & diapering accessories,Baby care & diapering accessories,
SUB_20003,MC_20001,Baby monitors & safety,Baby monitors & safety,Baby monitors & safety,Baby monitors & safety,1,1,1,1,0,1,,Catalog (default),,Babyphone & Sicherheit,Babyphone & Sicherheit,Babyphone & Sicherheit,Babyphone & Sicherheit,Babyphone & Sicherheit,Babyphone & Sicherheit,Babyphone & Sicherheit,Babyphone & Sicherheit,Babyphone & Sicherheit,Babyphone & Sicherheit,Babyphone & Sicherheit,Babyphone & Sicherheit,Babyphone & Sicherheit,Babyphone & Sicherheit,Babyphone & Sicherheit,Babyphone & Sicherheit,,,,,Baby monitors & safety,Baby monitors & safety,Baby monitors & safety,Baby monitors & safety,
SUB_20004,MC_20001,Baby carriers & traveling with babies,Baby carriers & traveling with babies,Baby carriers & traveling with babies,Baby carriers & traveling with babies,1,1,1,1,0,1,,Catalog (default),,Babytragen & Reisen mit Babys,Babytragen & Reisen mit Babys,Babytragen & Reisen mit Babys,Babytragen & Reisen mit Babys,Babytragen & Reisen mit Babys,Babytragen & Reisen mit Babys,Babytragen & Reisen mit Babys,Babytragen & Reisen mit Babys,Babytragen & Reisen mit Babys,Babytragen & Reisen mit Babys,Babytragen & Reisen mit Babys,Babytragen & Reisen mit Babys,Babytragen & Reisen mit Babys,Babytragen & Reisen mit Babys,Babytragen & Reisen mit Babys,Babytragen & Reisen mit Babys,,,,,Baby carriers & traveling with babies,Baby carriers & traveling with babies,Baby carriers & traveling with babies,Baby carriers & traveling with babies,
SUB_20005,MC_20001,Child Seats,Child Seats,Child Seats,Child Seats,1,1,1,1,0,1,,Catalog (default),,Kindersitze,Kindersitze,Kindersitze,Kindersitze,Kindersitze,Kindersitze,Kindersitze,Kindersitze,Kindersitze,Kindersitze,Kindersitze,Kindersitze,Kindersitze,Kindersitze,Kindersitze,Kindersitze,,,,,Child Seats,Child Seats,Child Seats,Child Seats,
SUB_20006,MC_20001,Strollers & Accessories,Strollers & Accessories,Strollers & Accessories,Strollers & Accessories,1,1,1,1,0,1,,Catalog (default),,Kinderwagen & Zubehör,Kinderwagen & Zubehör,Kinderwagen & Zubehör,Kinderwagen & Zubehör,Kinderwagen & Zubehör,Kinderwagen & Zubehör,Kinderwagen & Zubehör,Kinderwagen & Zubehör,Kinderwagen & Zubehör,Kinderwagen & Zubehör,Kinderwagen & Zubehör,Kinderwagen & Zubehör,Kinderwagen & Zubehör,Kinderwagen & Zubehör,Kinderwagen & Zubehör,Kinderwagen & Zubehör,,,,,Strollers & Accessories,Strollers & Accessories,Strollers & Accessories,Strollers & Accessories,
SUB_20007,MC_20001,Nursery,Nursery,Nursery,Nursery,1,1,1,1,0,1,,Catalog (default),,Kinderzimmer,Kinderzimmer,Kinderzimmer,Kinderzimmer,Kinderzimmer,Kinderzimmer,Kinderzimmer,Kinderzimmer,Kinderzimmer,Kinderzimmer,Kinderzimmer,Kinderzimmer,Kinderzimmer,Kinderzimmer,Kinderzimmer,Kinderzimmer,,,,,Nursery,Nursery,Nursery,Nursery,
SUB_20008,MC_20001,Toys,Toys,Toys,Toys,1,1,1,1,0,1,,Catalog (default),,Spielwaren,Spielwaren,Spielwaren,Spielwaren,Spielwaren,Spielwaren,Spielwaren,Spielwaren,Spielwaren,Spielwaren,Spielwaren,Spielwaren,Spielwaren,Spielwaren,Spielwaren,Spielwaren,,,,,Toys,Toys,Toys,Toys,
SUB_20008_01,SUB_20008,Learning toys,Learning toys,Learning toys,Learning toys,1,1,1,1,0,1,,Catalog (default),,Lernspielzeug,Lernspielzeug,Lernspielzeug,Lernspielzeug,Lernspielzeug,Lernspielzeug,Lernspielzeug,Lernspielzeug,Lernspielzeug,Lernspielzeug,Lernspielzeug,Lernspielzeug,Lernspielzeug,Lernspielzeug,Lernspielzeug,Lernspielzeug,,,,,Learning toys,Learning toys,Learning toys,Learning toys,
SUB_20008_02,SUB_20008,Outdoor toys,Outdoor toys,Outdoor toys,Outdoor toys,1,1,1,1,0,1,,Catalog (default),,Outdoor-Spielzeug,Outdoor-Spielzeug,Outdoor-Spielzeug,Outdoor-Spielzeug,Outdoor-Spielzeug,Outdoor-Spielzeug,Outdoor-Spielzeug,Outdoor-Spielzeug,Outdoor-Spielzeug,Outdoor-Spielzeug,Outdoor-Spielzeug,Outdoor-Spielzeug,Outdoor-Spielzeug,Outdoor-Spielzeug,Outdoor-Spielzeug,Outdoor-Spielzeug,,,,,Outdoor toys,Outdoor toys,Outdoor toys,Outdoor toys,
SUB_20008_03,SUB_20008,Wooden toys,Wooden toys,Wooden toys,Wooden toys,1,1,1,1,0,1,,Catalog (default),,Holzspielzeug,Holzspielzeug,Holzspielzeug,Holzspielzeug,Holzspielzeug,Holzspielzeug,Holzspielzeug,Holzspielzeug,Holzspielzeug,Holzspielzeug,Holzspielzeug,Holzspielzeug,Holzspielzeug,Holzspielzeug,Holzspielzeug,Holzspielzeug,,,,,Wooden toys,Wooden toys,Wooden toys,Wooden toys,
SUB_20008_04,SUB_20008,Board games,Board games,Board games,Board games,1,1,1,1,0,1,,Catalog (default),,Gesellschaftsspiele,Gesellschaftsspiele,Gesellschaftsspiele,Gesellschaftsspiele,Gesellschaftsspiele,Gesellschaftsspiele,Gesellschaftsspiele,Gesellschaftsspiele,Gesellschaftsspiele,Gesellschaftsspiele,Gesellschaftsspiele,Gesellschaftsspiele,Gesellschaftsspiele,Gesellschaftsspiele,Gesellschaftsspiele,Gesellschaftsspiele,,,,,Board games,Board games,Board games,Board games,
SUB_20008_05,SUB_20008,Electric toys,Electric toys,Electric toys,Electric toys,1,1,1,1,0,1,,Catalog (default),,Elektrospielzeug,Elektrospielzeug,Elektrospielzeug,Elektrospielzeug,Elektrospielzeug,Elektrospielzeug,Elektrospielzeug,Elektrospielzeug,Elektrospielzeug,Elektrospielzeug,Elektrospielzeug,Elektrospielzeug,Elektrospielzeug,Elektrospielzeug,Elektrospielzeug,Elektrospielzeug,,,,,Electric toys,Electric toys,Electric toys,Electric toys,
SUB_20008_06,SUB_20008,Children´s vehicles,Children´s vehicles,Children´s vehicles,Children´s vehicles,1,1,1,1,0,1,,Catalog (default),,Kinderfahrzeuge,Kinderfahrzeuge,Kinderfahrzeuge,Kinderfahrzeuge,Kinderfahrzeuge,Kinderfahrzeuge,Kinderfahrzeuge,Kinderfahrzeuge,Kinderfahrzeuge,Kinderfahrzeuge,Kinderfahrzeuge,Kinderfahrzeuge,Kinderfahrzeuge,Kinderfahrzeuge,Kinderfahrzeuge,Kinderfahrzeuge,,,,,Children´s vehicles,Children´s vehicles,Children´s vehicles,Children´s vehicles,
SUB_20008_07,SUB_20008,Game & action figures,Game & action figures,Game & action figures,Game & action figures,1,1,1,1,0,1,,Catalog (default),,Spiel- & Actionfiguren,Spiel- & Actionfiguren,Spiel- & Actionfiguren,Spiel- & Actionfiguren,Spiel- & Actionfiguren,Spiel- & Actionfiguren,Spiel- & Actionfiguren,Spiel- & Actionfiguren,Spiel- & Actionfiguren,Spiel- & Actionfiguren,Spiel- & Actionfiguren,Spiel- & Actionfiguren,Spiel- & Actionfiguren,Spiel- & Actionfiguren,Spiel- & Actionfiguren,Spiel- & Actionfiguren,,,,,Game & action figures,Game & action figures,Game & action figures,Game & action figures,
SUB_20008_08,SUB_20008,Construction kits / building blocks,Construction kits / building blocks,Construction kits / building blocks,Construction kits / building blocks,1,1,1,1,0,1,,Catalog (default),,Baukästen/Bausteine,Baukästen/Bausteine,Baukästen/Bausteine,Baukästen/Bausteine,Baukästen/Bausteine,Baukästen/Bausteine,Baukästen/Bausteine,Baukästen/Bausteine,Baukästen/Bausteine,Baukästen/Bausteine,Baukästen/Bausteine,Baukästen/Bausteine,Baukästen/Bausteine,Baukästen/Bausteine,Baukästen/Bausteine,Baukästen/Bausteine,,,,,Construction kits / building blocks,Construction kits / building blocks,Construction kits / building blocks,Construction kits / building blocks,
SUB_20008_09,SUB_20008,Racetrack,Racetrack,Racetrack,Racetrack,1,1,1,1,0,1,,Catalog (default),,Rennbahn,Rennbahn,Rennbahn,Rennbahn,Rennbahn,Rennbahn,Rennbahn,Rennbahn,Rennbahn,Rennbahn,Rennbahn,Rennbahn,Rennbahn,Rennbahn,Rennbahn,Rennbahn,,,,,Racetrack,Racetrack,Racetrack,Racetrack,
SUB_20008_10,SUB_20008,Painting & handicrafts,Painting & handicrafts,Painting & handicrafts,Painting & handicrafts,1,1,1,1,0,1,,Catalog (default),,Malen & Basteln,Malen & Basteln,Malen & Basteln,Malen & Basteln,Malen & Basteln,Malen & Basteln,Malen & Basteln,Malen & Basteln,Malen & Basteln,Malen & Basteln,Malen & Basteln,Malen & Basteln,Malen & Basteln,Malen & Basteln,Malen & Basteln,Malen & Basteln,,,,,Painting & handicrafts,Painting & handicrafts,Painting & handicrafts,Painting & handicrafts,
SUB_20008_11,SUB_20008,Stuffed animals,Stuffed animals,Stuffed animals,Stuffed animals,1,1,1,1,0,1,,Catalog (default),,Stofftiere,Stofftiere,Stofftiere,Stofftiere,Stofftiere,Stofftiere,Stofftiere,Stofftiere,Stofftiere,Stofftiere,Stofftiere,Stofftiere,Stofftiere,Stofftiere,Stofftiere,Stofftiere,,,,,Stuffed animals,Stuffed animals,Stuffed animals,Stuffed animals,
MC_30001,shop,Health & Beauty,Health & Beauty,Health & Beauty,Health & Beauty,1,1,1,1,0,1,,Catalog (default),,Beauty & Gesundheit,Beauty & Gesundheit,Beauty & Gesundheit,Beauty & Gesundheit,Beauty & Gesundheit,Beauty & Gesundheit,Beauty & Gesundheit,Beauty & Gesundheit,Beauty & Gesundheit,Beauty & Gesundheit,Beauty & Gesundheit,Beauty & Gesundheit,Beauty & Gesundheit,Beauty & Gesundheit,Beauty & Gesundheit,Beauty & Gesundheit,,,,,Health & Beauty,Health & Beauty,Health & Beauty,Health & Beauty,
SUB_30001,MC_30001,Household Items,Household Items,Household Items,Household Items,1,1,1,1,0,1,,Catalog (default),,Haushaltsartikel,Haushaltsartikel,Haushaltsartikel,Haushaltsartikel,Haushaltsartikel,Haushaltsartikel,Haushaltsartikel,Haushaltsartikel,Haushaltsartikel,Haushaltsartikel,Haushaltsartikel,Haushaltsartikel,Haushaltsartikel,Haushaltsartikel,Haushaltsartikel,Haushaltsartikel,,,,,Household Items,Household Items,Household Items,Household Items,
SUB_30002,MC_30001,Contact Lenses & Glasses,Contact Lenses & Glasses,Contact Lenses & Glasses,Contact Lenses & Glasses,1,1,1,1,0,1,,Catalog (default),,Kontaktlinsen & Brillen,Kontaktlinsen & Brillen,Kontaktlinsen & Brillen,Kontaktlinsen & Brillen,Kontaktlinsen & Brillen,Kontaktlinsen & Brillen,Kontaktlinsen & Brillen,Kontaktlinsen & Brillen,Kontaktlinsen & Brillen,Kontaktlinsen & Brillen,Kontaktlinsen & Brillen,Kontaktlinsen & Brillen,Kontaktlinsen & Brillen,Kontaktlinsen & Brillen,Kontaktlinsen & Brillen,Kontaktlinsen & Brillen,,,,,Contact Lenses & Glasses,Contact Lenses & Glasses,Contact Lenses & Glasses,Contact Lenses & Glasses,
SUB_30003,MC_30001,Cosmetics & Fragrances,Cosmetics & Fragrances,Cosmetics & Fragrances,Cosmetics & Fragrances,1,1,1,1,0,1,,Catalog (default),,Kosmetik & Düfte,Kosmetik & Düfte,Kosmetik & Düfte,Kosmetik & Düfte,Kosmetik & Düfte,Kosmetik & Düfte,Kosmetik & Düfte,Kosmetik & Düfte,Kosmetik & Düfte,Kosmetik & Düfte,Kosmetik & Düfte,Kosmetik & Düfte,Kosmetik & Düfte,Kosmetik & Düfte,Kosmetik & Düfte,Kosmetik & Düfte,,,,,Cosmetics & Fragrances,Cosmetics & Fragrances,Cosmetics & Fragrances,Cosmetics & Fragrances,
SUB_30003_01,SUB_30003,Women´s fragrances,Women´s fragrances,Women´s fragrances,Women´s fragrances,1,1,1,1,0,1,,Catalog (default),,Damendüfte,Damendüfte,Damendüfte,Damendüfte,Damendüfte,Damendüfte,Damendüfte,Damendüfte,Damendüfte,Damendüfte,Damendüfte,Damendüfte,Damendüfte,Damendüfte,Damendüfte,Damendüfte,,,,,Women´s fragrances,Women´s fragrances,Women´s fragrances,Women´s fragrances,
SUB_30003_02,SUB_30003,Men´s fragrances,Men´s fragrances,Men´s fragrances,Men´s fragrances,1,1,1,1,0,1,,Catalog (default),,Herrendüfte,Herrendüfte,Herrendüfte,Herrendüfte,Herrendüfte,Herrendüfte,Herrendüfte,Herrendüfte,Herrendüfte,Herrendüfte,Herrendüfte,Herrendüfte,Herrendüfte,Herrendüfte,Herrendüfte,Herrendüfte,,,,,Men´s fragrances,Men´s fragrances,Men´s fragrances,Men´s fragrances,
SUB_30004,MC_30001,Body Hygiene & Care,Body Hygiene & Care,Body Hygiene & Care,Body Hygiene & Care,1,1,1,1,0,1,,Catalog (default),,Körperhygiene & Pflege,Körperhygiene & Pflege,Körperhygiene & Pflege,Körperhygiene & Pflege,Körperhygiene & Pflege,Körperhygiene & Pflege,Körperhygiene & Pflege,Körperhygiene & Pflege,Körperhygiene & Pflege,Körperhygiene & Pflege,Körperhygiene & Pflege,Körperhygiene & Pflege,Körperhygiene & Pflege,Körperhygiene & Pflege,Körperhygiene & Pflege,Körperhygiene & Pflege,,,,,Body Hygiene & Care,Body Hygiene & Care,Body Hygiene & Care,Body Hygiene & Care,
SUB_30004_01,SUB_30004,Shower & bath products,Shower & bath products,Shower & bath products,Shower & bath products,1,1,1,1,0,1,,Catalog (default),,Dusch-& Badeprodukte,Dusch-& Badeprodukte,Dusch-& Badeprodukte,Dusch-& Badeprodukte,Dusch-& Badeprodukte,Dusch-& Badeprodukte,Dusch-& Badeprodukte,Dusch-& Badeprodukte,Dusch-& Badeprodukte,Dusch-& Badeprodukte,Dusch-& Badeprodukte,Dusch-& Badeprodukte,Dusch-& Badeprodukte,Dusch-& Badeprodukte,Dusch-& Badeprodukte,Dusch-& Badeprodukte,,,,,Shower & bath products,Shower & bath products,Shower & bath products,Shower & bath products,
SUB_30004_02,SUB_30004,Deodorants,Deodorants,Deodorants,Deodorants,1,1,1,1,0,1,,Catalog (default),,Deodorants,Deodorants,Deodorants,Deodorants,Deodorants,Deodorants,Deodorants,Deodorants,Deodorants,Deodorants,Deodorants,Deodorants,Deodorants,Deodorants,Deodorants,Deodorants,,,,,Deodorants,Deodorants,Deodorants,Deodorants,
SUB_30004_03,SUB_30004,Sun Care,Sun Care,Sun Care,Sun Care,1,1,1,1,0,1,,Catalog (default),,Sonnenpfelge,Sonnenpfelge,Sonnenpfelge,Sonnenpfelge,Sonnenpfelge,Sonnenpfelge,Sonnenpfelge,Sonnenpfelge,Sonnenpfelge,Sonnenpfelge,Sonnenpfelge,Sonnenpfelge,Sonnenpfelge,Sonnenpfelge,Sonnenpfelge,Sonnenpfelge,,,,,Sun Care,Sun Care,Sun Care,Sun Care,
SUB_30004_04,SUB_30004,Dental Care,Dental Care,Dental Care,Dental Care,1,1,1,1,0,1,,Catalog (default),,Zahnpflege,Zahnpflege,Zahnpflege,Zahnpflege,Zahnpflege,Zahnpflege,Zahnpflege,Zahnpflege,Zahnpflege,Zahnpflege,Zahnpflege,Zahnpflege,Zahnpflege,Zahnpflege,Zahnpflege,Zahnpflege,,,,,Dental Care,Dental Care,Dental Care,Dental Care,
