key,name,description,title.default,subtitle.default,image_url.default,click_url.default,alt_text.default,open_url_in_new_tab.default
d5a47e0c-fa7e-53c2-a914-80d59061ed57,Landingpage Lyconet - Store Banner 2020,Landingpage - Lyconet Store Banner 2020,"""HAPPINESS IS...","RECEIVING WHAT YOU ORDERED ONLINE.""",https://l.mwscdn.io/large/marketplace/Content/Banner/MP-Frontpage/Lyconet_Store_1264x450_04.jpg,javascript:void(0),Lyconet Store,false
21913b9b-8d6b-562d-aedf-e283523c00f3,Landingpage EliteClub - Home [old],Landingpage EliteClub - Home Big Banner [old],The secret key to your success.,Value you can't buy.,https://eliteclub.com/_next/static/chunks/images/Hero-205d2f5d3bcb784266cec925b86fdb0b.jpg,https://eliteclub.com/,The secret key to your success.,true
e116069b-5cbd-5bd8-8732-52b12207bb77,Landingpage EliteClub - Book your once in a lifetime experience,Landingpage - operated by travelworld,Book your once in a lifetime experience,operated by travelworld,https://l.mwscdn.io/large/marketplace/Content/Banner/MP-Frontpage/Book_now_1365x376.jpg,https://www.travelworld.com/de/eliteClub-accommodations,book now,true
2101207f-dd0a-53b8-9cf7-68ccd0311a6e,Landingpage Easter - Happy Easter,Landingpage - Easter,Discover our Easter offers and get cashback with every order.,...,https://l.mwscdn.io/large/marketplace/Content/Marketing/ostern-1365x376_03_en.jpg,https://www.marketplace.myworld.com/en/easter-specials,Discover our Easter offers and get cashback with every order.,false
2101207f-dd0a-53b8-9cf7-68ccd0311a6e,Landingpage Easter - Happy Easter,Landingpage - Easter,Entdecke unsere Osterangebote und erhalte Cashback mit jedem ,...,https://l.mwscdn.io/large/marketplace/Content/Marketing/ostern-1365x376_03_de.jpg,https://www.marketplace.myworld.com/pl/oster-angebote,Entdecke unsere Osterangebote und erhalte Cashback mit jedem Einkauf.,false
e65ed4af-6320-57db-a33e-e31626f24711,Landingpage Easter - Easter Sale,Landingpage - Easter Sale,Special offers,...,https://l.mwscdn.io/large/marketplace/Content/Marketing/ostern-sale-1365x376.jpg,javascript:void(0),...,false
e65ed4af-6320-57db-a33e-e31626f24711,Landingpage Easter - Easter Sale,Landingpage - Easter Sale,Sonderangebote,null,https://l.mwscdn.io/large/marketplace/Content/Marketing/ostern-sale-1365x376.jpg,javascript:void(0),null,false
e0b9c0e3-b47c-5df2-830c-0a5566780486,Landingpage ONESENSE - 01,Landingpage - ONESENSE - 01,SENSE the balance,Explore now,https://l.mwscdn.io/large/marketplace/Content/Banner/MP-Frontpage/onesense_LP_Head_1264x540_001.jpg,javascript:void(0),Explore now,false
bce290cb-f2af-5f26-b3d8-b5ca7e910cd8,Landingpage ONESENSE - 02,Landingpage - ONESENSE - 02,SENSE the balance,Explore now,https://l.mwscdn.io/large/marketplace/Content/Banner/MP-Frontpage/onesense_LP_Head_1264x540_002.jpg,javascript:void(0),Explore now,false
2cec1419-69c6-53de-b25a-3b13ef591fdc,Landingpage - ONESENSE - 03,Landingpage - ONESENSE - 03,SENSE the balance,Explore now,https://l.mwscdn.io/large/marketplace/Content/Banner/MP-Frontpage/onesense_LP_Head_1264x540_003.jpg,javascript:void(0),Explore now,false
33d096f9-997b-5e5e-975d-50b617f97937,Online Sensation - 01,Online Sensation - April Edition,Our special offers for Online Sensation - April Edition,explore now,https://l.mwscdn.io/large/marketplace/Content/Marketing/OS_April_003.jpg,https://www.marketplace.myworld.com/en/online-sensation,Unsere Spezial Angebote zur Online Sensation - April Edition,false
33d096f9-997b-5e5e-975d-50b617f97937,Online Sensation - 01,Online Sensation - April Edition,Unsere Spezial Angebote zur Online Sensation - April Edition,explore now,https://l.mwscdn.io/large/marketplace/Content/Marketing/OS_April_003.jpg,https://www.marketplace.myworld.com/pl/online-sensation,Unsere Spezial Angebote zur Online Sensation - April Edition,false
33d096f9-997b-5e5e-975d-50b617f97937,Online Sensation - 01,Online Sensation - April Edition,Our special offers for Online Sensation - April Edition,explore now,https://l.mwscdn.io/large/marketplace/Content/Marketing/OS_April_003.jpg,https://www.marketplace.myworld.com/en/online-sensation,null,false
79e044fa-12b2-5420-9bf3-c10a71f3b27a,Online Sensation - 02,Online Sensation - April Edition,...,...,https://l.mwscdn.io/large/marketplace/Content/Marketing/OS_April_002.jpg,javascript:void(0),...,false
1f6e0b04-7d69-5c5c-8665-9591727b2e2f,Online Sensation - 03,Online Sensation - April Edition,...,...,https://l.mwscdn.io/large/marketplace/Content/Marketing/OS_April_001.jpg,javascript:void(0),...,false
e4c07d90-9662-5cd6-8fea-79b3989299bd,Landingpage EliteClub - Home,Landingpage EliteClub - Home Big Banner,WELCOME TO THE ELITECLUB,where only the extraordinary is good enough,https://l.mwscdn.io/large/marketplace/Content/Banner/MP-Frontpage/EliteClub_1264x450_03.jpg,javascript:void(0),WELCOME TO THE ELITECLUB,false
d75414f2-ecc5-5654-b39b-db37dad0fc9d,Landingpage EliteClub - Footer Banner,Landingpage EliteClub - Footer Banner,.,.,https://l.mwscdn.io/large/marketplace/Content/Banner/MP-Frontpage/EliteClub_1264x450_02_02.jpg,https://eliteclub.com,.,true
50c0992b-4292-537e-80ce-8035821f302a,Big Banner Middle,Homepage - Big Banner Middle,travelWorld,The best hotels at the best prices including Cashback and Shopping Points<br/><b>Discover now >> </b>,https://l.mwscdn.io/large/marketplace/Content/Banner/MP-Frontpage/travel_1920x540.jpg,https://www.travelworld.com/en/?utm_source=myworld.products&utm_medium=affiliate&utm_campaign=cb_recommendations&utm_content=homepage.jumbo,travelWorld,true
50c0992b-4292-537e-80ce-8035821f302a,Big Banner Middle,Homepage - Big Banner Middle,travelWorld,"Die besten Hotels zum besten Preis, inklusive Cashback und Shopping Points<br/><b>Jetzt entdecken >> </b>",https://l.mwscdn.io/large/marketplace/Content/Banner/MP-Frontpage/travel_1920x540.jpg,https://www.travelworld.com/de/?utm_source=myworld.products&utm_medium=affiliate&utm_campaign=cb_recommendations&utm_content=homepage.jumbo,travelWorld,true
3b803465-da4e-53c3-ab9e-de6816e1b8bc,Landingpage - Benefit Store Banner,Landingpage - Benefit Store Banner,The exclusive store with many benefits,Use your Benefit Voucher and get products at unbeatable prices!,https://l.mwscdn.io/large/marketplace/Content/Banner/MP-Frontpage/benefit-store-banner.jpg,javascript:void(0),The exclusive store with many benefits,false
3b803465-da4e-53c3-ab9e-de6816e1b8bc,Landingpage - Benefit Store Banner,Landingpage - Benefit Store Banner,Der exklusive Store mit zahlreichen Benefits,Löse deinen Benefit Voucher ein und sichere dir Produkte zu unschlagbaren Preisen!,https://l.mwscdn.io/large/marketplace/Content/Banner/MP-Frontpage/benefit-store-banner.jpg,javascript:void(0),Der exklusive Store mit zahlreichen Benefits,false
c5aa9920-6bed-5222-8cbd-ebdcf915e9ca,Landingpage - Daily Needs Banner,Landingpage - Daily Needs Banner,Value Packs at the Best Price,"Save on personal care products, cleaning products and sweets",https://l.mwscdn.io/large/marketplace/Content/Banner/MP-Frontpage/myworld-banner-marketplace-1264x450-.jpg,https://www.marketplace.myworld.com/en/daily-needs,.,false
c5aa9920-6bed-5222-8cbd-ebdcf915e9ca,Landingpage - Daily Needs Banner,Landingpage - Daily Needs Banner,Vorteilspackungen zum Bestpreis,"Spare mit Vorteilspackungen auf Reinigungsmittel, Pflegeprodukte und Süßigkeiten",https://l.mwscdn.io/large/marketplace/Content/Banner/MP-Frontpage/myworld-banner-marketplace-1264x450-.jpg,https://www.marketplace.myworld.com/pl/t%C3%A4glicher-bedarf,.,false
