key,input_type,allow_input,is_multiple,values,key_translation.en_US,value_translations.en_US,key_translation.nb_NO,key_translation.fi_FI,key_translation.da_DK,key_translation.sv_SE,value_translations.nb_NO,value_translations.fi_FI,value_translations.da_DK,value_translations.sv_SE
sellable_rs,checkbox,yes,no,,sellable_rs,,selges_rs,sellable_rs,sellable_rs,sellable_rs,,,,
sellable_th,checkbox,yes,no,,sellable_th,,selges_th,sellable_th,sellable_th,sellable_th,,,,
sellable_tr,checkbox,yes,no,,sellable_tr,,selges_tr,sellable_tr,sellable_tr,sellable_tr,,,,
sellable_us,checkbox,yes,no,,sellable_us,,selges_us,sellable_us,sellable_us,sellable_us,,,,
sellable_za,checkbox,yes,no,,sellable_za,,selges_za,sellable_za,sellable_za,sellable_za,,,,
shopping_points,number,yes,no,,shopping_points,,shopping_points,shopping_points,shopping_points,shopping_points,,,,
cashback_amount,number,yes,no,,cashback_amount,,cashback_beløp,cashback_amount,cashback_amount,cashback_amount,,,,
color_01,text,yes,no,,color_01,,farge_01,color_01,color_01,color_01,,,,
size_01,text,yes,no,,size_01,,størrelse_01,size_01,size_01,size_01,,,,
country_of_origin,text,yes,no,,country_of_origin,,opprinnelse_land,country_of_origin,country_of_origin,country_of_origin,,,,
gender,text,yes,no,"Male, Female",Gender,"Male, Female",Kjønn,Geschlecht,Geschlecht,Geschlecht,"Mann, Kvinne","Männlich, Weiblich","Männlich, Weiblich","Männlich, Weiblich"
featured_products,checkbox,no,no,1,Featured products,,Utvalgte produkter,Ausgewählte Produkte,Ausgewählte Produkte,Ausgewählte Produkte,,,,
benefit_store_sales_price,text,yes,no,,Benefit Store Sales Price,,Benefit Store salgspriser,Benefit Store Sales Price,Benefit Store Sales Price,Benefit Store Sales Price,,,,
benefit_amount,number,yes,no,,Benefit Amount,,Benefit beløp,Benefit Store,Benefit Store,Benefit Store,,,,
benefit_store,checkbox,yes,no,,Benefit Store,,Benefit Store,Benefit Store,Benefit Store,Benefit Store,,,,
shopping_point_store,checkbox,yes,no,,shopping_point_store,,shopping_point_butikk,shopping_point_store,shopping_point_store,shopping_point_store,,,,
product_sp_amount,text,yes,no,,product_sp_amount,,produkt_sp_beløp,product_sp_amount,product_sp_amount,product_sp_amount,,,,
office_dealer_id,text,yes,no,,office_dealer_id,,office_dealer_id,office_dealer_id,office_dealer_id,office_dealer_id,,,,
ec_deal_only,checkbox,no,no,1,ec_deal_only,,ec_bare_deal,ec_deal_only,ec_deal_only,ec_deal_only,,,,
base_price_display_value,,no,no,,,,,,,,,,,
product_language,text,yes,no,"Bulgarisch,Dänisch,Deutsch,Englisch,Estnisch,Finnisch,Französisch,Griechisch,Irisch,Italienisch,Kroatisch,Lettisch,Litauisch,Maltesisch,Niederländisch,Polnisch,Portugiesisch,Rumänisch,Schwedisch,Slowakisch,Slowenisch,Spanisch,Tschechisch,Ungarisch,dummy",,,,,,,,,,
style,text,yes,no,"standard,dummy,10er Pack,5er Pack",,,,,,,,,,
memory_size,text,yes,no,,,,,,,,,,,
language_packaging,text,yes,no,,,,,,,,,,,
language_bda,text,yes,no,,,,,,,,,,,
gender_01,text,yes,no,,,,,,,,,,,
affiliate_product,text,yes,no,,,,,,,,,,,
affiliate_deeplink,text,yes,no,,,,,,,,,,,
affiliate_displayed_price,text,yes,no,,,,,,,,,,,
affiliate_merchant_name,text,yes,no,,,,,,,,,,,
affiliate_merchant_id,text,yes,no,,,,,,,,,,,
affiliate_merchant_product_id,text,yes,no,,,,,,,,,,,
affiliate_availability,text,yes,no,,,,,,,,,,,
display_size_inch,text,yes,no,,,,,,,,,,,
display_size_cm,text,yes,no,,,,,,,,,,,
isbn,text,yes,no,,,,,,,,,,,
upc,text,yes,no,,,,,,,,,,,
packaging_unit,text,yes,no,,,,,,,,,,,
age_restriction_fsk_usk,text,yes,no,,,,,,,,,,,
age_restriction_pegi,text,yes,no,,,,,,,,,,,
weight_total,number,yes,no,,,,,,,,,,,
affiliate_network,text,yes,no,,,,,,,,,,,
marketer_only,checkbox,yes,no,,,,,,,,,,,
cbw_private_only,checkbox,yes,no,,,,,,,,,,,
platform_01,text,yes,no,,,,,,,,,,,
product_type,text,yes,no,,,,,,,,,,,
age_restriction,text,yes,no,,,,,,,,,,,
type_01,text,yes,no,,,,,,,,,,,
batteries,text,yes,no,,,,,,,,,,,
diameter,number,yes,no,,,,,,,,,,,
energy_efficiency,text,no,no,"A,B,C,D,E,F,G",,,,,,,,,,
hygiene,checkbox,no,no,x,,,,,,,,,,
contains,text,yes,no,,,,,,,,,,,
mhd,date,yes,no,,,,,,,,,,,
no_refund,checkbox,yes,no,x,,,,,,,,,,
my_deal,select,no,no,"BV DEAL,SP DEAL,EC DEAL",,,,,,,,,,
